creationdate:LONG|:START_ID(Forum)|:END_ID(Tag)
1310817866294|618475290625|1031
1269114852092|68719476738|5163
1271403200409|68719476739|7148
1322741275348|755914244100|2074
1343639055183|1030792151045|6887
1334494621073|893353197574|1760
1309088861869|549755813895|5156
1345977136795|1030792151048|2999
1298533306748|412316860425|8225
1275096112252|137438953482|1763
1271784499005|68719476747|1031
1275552569330|137438953484|10925
1300081477760|481036337165|11582
1294595009583|412316860430|1031
1315248231396|618475290639|5063
1277806117846|137438953488|10925
1325015163617|755914244113|6887
1293201442164|343597383698|2038
1324851297085|755914244115|2825
1344800451377|1030792151060|10712
1288695255190|274877906965|2008
1326485965535|824633720854|10925
1331296150066|893353197591|2938
1340956029878|962072674328|10925
1293150221395|343597383705|2008
1312540316795|618475290650|781
1320701839247|755914244123|3020
1316260044857|687194767388|7507
1314547361892|618475290653|7507
1293176028841|343597383710|3020
1291050509739|343597383711|2797
1312968917179|618475290656|2001
1320059998786|687194767393|6763
1346726514263|1030792151074|2038
1294580186996|412316860451|2001
1263050358156|36|5163
1264943593929|37|4843
1263909080863|38|291
1263909080863|38|470
1263909080863|38|973
1263909080863|38|974
1263909080863|38|1023
1263909080863|38|1175
1263909080863|38|1398
1263909080863|38|1532
1263909080863|38|1749
1263909080863|38|1763
1263909080863|38|1985
1263909080863|38|1986
1263909080863|38|1992
1263909080863|38|2114
1263909080863|38|2777
1263909080863|38|2785
1263909080863|38|2789
1263909080863|38|2791
1263909080863|38|2793
1263909080863|38|2864
1263909080863|38|2895
1263909080863|38|2942
1263909080863|38|2959
1263909080863|38|2979
1263909080863|38|2984
1263909080863|38|2991
1263909080863|38|2998
1263909080863|38|3005
1263909080863|38|3013
1263909080863|38|3025
1263909080863|38|3027
1263909080863|38|3046
1263909080863|38|5114
1263909080863|38|5192
1263909080863|38|6340
1263909080863|38|6383
1263909080863|38|6740
1263909080863|38|6980
1263909080863|38|6987
1263909080863|38|7522
1263909080863|38|9638
1263909080863|38|10449
1263909080863|38|10513
1263909080863|38|11824
1263942197674|39|282
1263942197674|39|458
1263942197674|39|775
1263942197674|39|778
1263942197674|39|779
1263942197674|39|781
1263942197674|39|796
1263942197674|39|1164
1263942197674|39|1446
1263942197674|39|1506
1263942197674|39|1984
1263942197674|39|1988
1263942197674|39|2004
1263942197674|39|2007
1263942197674|39|2011
1263942197674|39|2017
1263942197674|39|2044
1263942197674|39|2051
1263942197674|39|2056
1263942197674|39|2058
1263942197674|39|2065
1263942197674|39|2100
1263942197674|39|2119
1263942197674|39|2778
1263942197674|39|2804
1263942197674|39|2806
1263942197674|39|2819
1263942197674|39|2832
1263942197674|39|2833
1263942197674|39|2846
1263942197674|39|2852
1263942197674|39|2916
1263942197674|39|2945
1263942197674|39|2961
1263942197674|39|2979
1263942197674|39|2990
1263942197674|39|3044
1263942197674|39|3056
1263942197674|39|3059
1263942197674|39|3077
1263942197674|39|3089
1263942197674|39|4955
1263942197674|39|5067
1263942197674|39|5182
1263942197674|39|5196
1263942197674|39|6004
1263942197674|39|6383
1263942197674|39|6413
1263942197674|39|6740
1263942197674|39|6981
1263942197674|39|6985
1263942197674|39|7032
1263942197674|39|7089
1263942197674|39|7218
1263942197674|39|7516
1263942197674|39|7523
1263942197674|39|9063
1263942197674|39|9317
1263942197674|39|10037
1263942197674|39|14791
1263972737566|40|458
1263972737566|40|806
1263972737566|40|1668
1263972737566|40|1670
1263972737566|40|1985
1263972737566|40|1993
1263972737566|40|2011
1263972737566|40|2066
1263972737566|40|2785
1263972737566|40|2788
1263972737566|40|2794
1263972737566|40|2898
1263972737566|40|2929
1263972737566|40|2953
1263972737566|40|2968
1263972737566|40|2969
1263972737566|40|3073
1263972737566|40|5115
1263972737566|40|5170
1263972737566|40|5183
1263972737566|40|6976
1263972737566|40|8882
1263972737566|40|10289
1339665157171|962072674345|1993
1301569879774|481036337194|5115
1344473542944|1030792151083|10289
1295789443646|412316860460|5115
1325592554454|755914244142|2898
1309704781439|549755813935|2898
1349206287793|1099511627824|2968
1318515922210|687194767409|10289
1349612476774|1099511627826|2794
1321938238107|755914244147|2011
1263987303894|52|2788
1274800405946|137438953525|2794
1330046070504|824633720886|2785
1320275790506|687194767415|1985
1312076077651|618475290680|458
1275840397303|137438953529|1993
1272633740601|68719476794|1985
1327931491348|824633720891|1670
1282923044460|206158430268|2788
1343541654724|1030792151101|10289
1283598094029|274877907006|2929
1317077913307|687194767423|10289
1334565787533|893353197632|5183
1299191386685|412316860481|2794
1303567296296|481036337218|5115
1330595002101|824633720899|806
1289420964866|343597383748|5170
1278329484919|206158430277|10289
1350849639273|1099511627846|3073
1326426361907|824633720903|1985
1302674696650|481036337224|2969
1325420053225|755914244169|3073
1346399318536|1030792151114|1668
1274201790131|137438953547|2066
1266659397443|76|1200
1266659397443|76|1506
1266659397443|76|1532
1266659397443|76|1533
1266659397443|76|1992
1266659397443|76|1993
1266659397443|76|2105
1266659397443|76|2795
1266659397443|76|6433
1309421523567|549755813965|1532
1339493926635|962072674382|1992
1321760503638|755914244175|1532
1287660157788|274877907024|1533
1348372925991|1099511627858|1200
1321877719250|755914244179|1506
1335571928891|893353197652|1506
1281164395124|206158430293|1993
1287695861895|274877907030|2105
1314576215278|618475290711|1993
1277702630717|137438953560|2105
1305086049107|549755813977|1532
1326134028083|824633720922|2795
1325487971655|755914244187|1533
1350920821564|1099511627868|1993
1273952939901|137438953565|2105
1291801790796|343597383775|2105
1284796382964|274877907041|1506
1275659234126|137438953570|2795
1317370731529|687194767459|6433
1268058819550|68719476836|2795
1313697119679|618475290725|2795
1311874188322|618475290726|2105
1302166855283|481036337255|1533
1289815668234|343597383784|1200
1304060995866|481036337257|1532
1286229527693|274877907050|1533
1339830666994|962072674411|1992
1352079091463|1099511627884|6433
1351117264957|1099511627885|1532
1275421571542|137438953582|1992
1262693567385|111|2
1262693567385|111|2057
1350239388443|1099511627888|2057
1306294258418|549755814001|2
1343159238340|1030792151154|2057
1273104537118|137438953587|2057
1319731104293|687194767476|2
1293792431543|343597383797|2
1279398494485|206158430326|2
1314304359497|618475290743|2057
1283142591772|206158430329|2057
