creationdate:LONG|:START_ID(Person)|:END_ID(Comment)
1349648836730|21990232555855|1099511628185
1315615613348|17592186045813|618475291065
1315565558159|19791209301104|618475291065
1332553644594|6597069767381|893353198139
1325747286910|910|755914244721
1340079122976|981|962072675001
1339725527524|1223|962072675001
1339670990285|1443|962072675001
1339732508101|1582|962072675001
1339986741278|1682|962072675001
1339915728247|2199023255898|962072675001
1340009792970|2199023256055|962072675001
1340048031645|2199023256304|962072675001
1339600156565|2199023256573|962072675001
1340084233703|4398046511247|962072675001
1339941461279|4398046511357|962072675001
1339583806222|4398046512195|962072675001
1340088548824|4398046512351|962072675001
1339888126664|4398046512585|962072675001
1339593239977|6597069767216|962072675001
1339788337686|6597069768067|962072675001
1339947349894|6597069768249|962072675001
1340001713686|8796093022402|962072675001
1339782165398|8796093022932|962072675001
1339644854295|8796093023537|962072675001
1339566673994|8796093023616|962072675001
1339650515471|8796093023864|962072675001
1339744144158|8796093023891|962072675001
1340146431341|8796093023896|962072675001
1339581184036|10995116277761|962072675001
1339570474062|10995116277892|962072675001
1339794332742|10995116278083|962072675001
1340134383677|10995116278091|962072675001
1340031505400|10995116278230|962072675001
1339568928027|10995116278274|962072675001
1339605720254|10995116278326|962072675001
1339795461974|10995116278710|962072675001
1339784389717|10995116278767|962072675001
1339822567773|10995116279335|962072675001
1340091345892|10995116279452|962072675001
1340151891216|13194139533966|962072675001
1339888227024|15393162788957|962072675001
1339796125627|15393162789023|962072675001
1339719982326|15393162789151|962072675001
1339607820338|15393162789781|962072675001
1339737914854|15393162790071|962072675001
1339892560451|15393162790399|962072675001
1340084134871|17592186044645|962072675001
1339701009263|17592186044794|962072675001
1339753148096|17592186045004|962072675001
1339662973687|17592186045488|962072675001
1339672915190|17592186045813|962072675001
1339919053980|19791209300224|962072675001
1339832763119|19791209300501|962072675001
1339786063060|19791209300502|962072675001
1339996816420|21990232555880|962072675001
1340080451971|21990232556531|962072675001
1339853353976|21990232556892|962072675001
1339851061950|24189255811142|962072675001
1339682334916|24189255811723|962072675001
1339855429431|24189255812554|962072675001
1339801287954|24189255812761|962072675001
1340119035767|26388279066876|962072675001
1339805811202|26388279067204|962072675001
1339791047647|26388279067353|962072675001
1339655671180|26388279067496|962072675001
1339996952909|26388279068153|962072675001
1340082900521|28587302322210|962072675001
1339577989082|28587302322534|962072675001
1339570373747|28587302322838|962072675001
1340020906076|28587302323263|962072675001
1339913930088|28587302323557|962072675001
1339587894415|30786325579231|962072675001
1320912926036|17592186044794|687194768079
1350464819085|17592186045813|1099511628525
1352962132586|17592186044794|1168231105389
1352082059846|2199023256573|1099511628666
1352027479628|4398046511247|1099511628666
1352076620112|4398046511357|1099511628666
1352228364134|4398046512195|1099511628666
1352434233510|4398046512351|1099511628666
1352085815755|4398046512585|1099511628666
1352033717589|6597069767216|1099511628666
1351894665621|6597069768067|1099511628666
1352165008951|6597069768249|1099511628666
1352463050687|8796093022402|1099511628666
1351903815615|8796093023537|1099511628666
1352177821322|8796093023616|1099511628666
1352382921588|8796093023864|1099511628666
1352217266206|8796093023891|1099511628666
1352433078065|8796093023896|1099511628666
1352311066261|10995116277761|1099511628666
1352329954980|10995116277892|1099511628666
1333490535148|28587302323557|893353198471
1346986045448|15393162789151|1030792151997
1353288647272|28587302322210|1168231105479
1352979215209|28587302322534|1168231105479
1353396252735|28587302322838|1168231105479
1352943590971|28587302323263|1168231105479
1352991642527|28587302323557|1168231105479
1352933831605|30786325578070|1168231105479
1352979948813|30786325579231|1168231105479
1352985454418|32985348833375|1168231105479
1353082528385|32985348833450|1168231105479
1353246843917|32985348833673|1168231105479
1353364308544|32985348833719|1168231105479
1353194471843|35184372090415|1168231105503
1317224358414|27|687194768393
1340765087261|4398046511247|962072675349
1290266423146|27|343597384846
1290528701790|555|343597384846
1290616651437|808|343597384846
1290219038283|981|343597384846
1290511919493|1223|343597384846
1290735833616|1443|343597384846
1290328717936|1582|343597384846
1290417119640|1682|343597384846
1290366132581|2199023255898|343597384846
1290218107558|2199023256055|343597384846
1290688734043|2199023256304|343597384846
1290184657824|2199023256573|343597384846
1290655369132|4398046511247|343597384846
1290175176512|4398046511357|343597384846
1290555351642|4398046512195|343597384846
1290475823300|4398046512351|343597384846
1290355572113|4398046512585|343597384846
1290234081268|6597069767216|343597384846
1290552490102|6597069768067|343597384846
1290569515821|6597069768249|343597384846
1290195544716|8796093022402|343597384846
1290415825182|8796093022932|343597384846
1290574645177|8796093023537|343597384846
1290404201695|8796093023616|343597384846
1290613053619|8796093023864|343597384846
1290700097025|8796093023891|343597384846
1290478918352|8796093023896|343597384846
1290642394433|10995116277761|343597384846
1290741894337|10995116277892|343597384846
1290573968124|10995116278767|343597384846
1343096329715|28587302322210|1030792152721
1341468322935|28587302322210|962072675997
1345228205688|13194139534730|1030792152752
1345290653157|24189255812167|1030792152752
1352585708157|1204|1099511629491
1352626114973|13194139534730|1099511629491
1352349490685|24189255812167|1099511629491
1352542282315|28587302322210|1099511629491
1352681467275|30786325578726|1099511629491
1352165917842|35184372089722|1099511629491
1352454190691|1204|1099511629492
1345460026938|1204|1030792152778
1345617408853|13194139534730|1030792152778
1345599927307|24189255812167|1030792152778
1345334338216|28587302322210|1030792152778
1353865715464|21990232556130|1168231106707
1319943946809|2199023255824|687194769563
1341756347722|10995116278996|962072677228
1351257616473|28587302323557|1099511630761
1308150179504|2199023256031|549755816904
1324591614517|910|755914247535
1324576470332|2199023255851|755914247535
1324790308031|2199023256031|755914247535
1325034708069|2199023256183|755914247535
1325083045727|2199023256361|755914247535
1325085437048|6597069767597|755914247535
1325038376378|6597069768129|755914247535
1292754689879|910|343597387136
1342847305709|910|1030792154645
1342375540645|6597069767484|1030792154645
1342844821988|6597069768129|1030792154645
1342672921620|6597069768167|1030792154645
1342867697040|10995116278230|1030792154645
1342552071539|10995116278727|1030792154645
1342592146649|10995116279024|1030792154645
1342444409047|13194139534447|1030792154645
1342470614764|17592186044648|1030792154645
1342750930613|17592186044850|1030792154645
1342861097130|19791209300150|1030792154645
1342739706966|21990232556623|1030792154645
1342889070811|24189255811723|1030792154645
1342513100536|28587302323389|1030792154645
1342806889596|28587302323659|1030792154645
1342788862841|30786325578598|1030792154645
1342410926958|30786325579250|1030792154645
1348356884497|10995116278230|1099511631388
1296769921893|4398046512195|412316864102
1297328412790|10995116278230|412316864102
1351080081655|1204|1099511631639
1351212742983|1555|1099511631639
1351233461729|4398046512351|1099511631639
1351063253255|4398046512388|1099511631639
1351375056495|4398046512582|1099511631639
1351226853850|8796093023087|1099511631639
1351258525192|8796093023851|1099511631639
1351041320476|10995116278066|1099511631639
1351004566722|13194139533919|1099511631639
1351212883798|13194139534169|1099511631639
1351467302599|17592186045627|1099511631639
1351320868183|19791209300778|1099511631639
1351507778583|19791209300812|1099511631639
1351162151842|21990232555639|1099511631639
1351297816369|21990232556121|1099511631639
1351043524276|24189255811148|1099511631639
1350946287676|24189255811441|1099511631639
1351107890674|26388279066936|1099511631639
1351243321020|26388279067210|1099511631639
1351410281088|28587302322216|1099511631639
1350987089375|28587302323330|1099511631639
1350951609794|30786325578612|1099511631639
1345249440809|26388279066936|1030792154923
1325714685870|4398046512582|755914247999
1334412975635|1204|893353201500
1334578625237|1555|893353201500
1334376129072|4398046512351|893353201500
1334890324033|4398046512388|893353201500
1334372727338|4398046512582|893353201500
1334827252044|8796093023087|893353201500
1334850632919|8796093023851|893353201500
1334831839843|10995116278066|893353201500
1334381667424|13194139533919|893353201500
1334692954114|13194139534169|893353201500
1334560896469|17592186045627|893353201500
1334475643282|19791209300778|893353201500
1334590030734|19791209300812|893353201500
1334860500460|21990232555639|893353201500
1334376030826|21990232556121|893353201500
1334754533647|24189255811148|893353201500
1334619582249|24189255811441|893353201500
1334793898137|26388279066936|893353201500
1334493200021|26388279067210|893353201500
1334844270790|28587302322216|893353201500
1334625730712|28587302323330|893353201500
1352694998732|705|1168231109062
1352693751593|910|1168231109062
1352889630975|1204|1168231109062
1352971723442|2199023256031|1168231109062
1352731020663|2199023256503|1168231109062
1352622350454|2199023256657|1168231109062
1352813601217|4398046511608|1168231109062
1352700211147|8796093022572|1168231109062
1352698223182|13194139533727|1168231109062
1352704998345|13194139534447|1168231109062
1352749464965|13194139534663|1168231109062
1352481022549|15393162789420|1168231109062
1352730236583|17592186044645|1168231109062
1352540484881|17592186045707|1168231109062
1352639536049|21990232557028|1168231109062
1352717967155|24189255812726|1168231109062
1352929478830|26388279067202|1168231109062
1352499355309|28587302322180|1168231109062
1352589004426|32985348834665|1168231109062
1353000795410|35184372088985|1168231109062
1352752402256|35184372089633|1168231109062
1352675998379|35184372090106|1168231109062
1352957315572|37383395346041|1168231109062
1352860438520|705|1168231109063
1353258855853|910|1168231109063
1352910900663|1204|1168231109063
1352835464209|2199023256031|1168231109063
1353170644381|2199023256503|1168231109063
1353102848373|2199023256657|1168231109063
1353203414446|4398046511608|1168231109063
1352973517373|8796093022572|1168231109063
1352760220395|13194139533727|1168231109063
1352868608059|13194139534447|1168231109063
1353251806182|13194139534663|1168231109063
1352821319592|15393162789420|1168231109063
1353127418976|17592186044645|1168231109063
1352861519806|17592186045707|1168231109063
1353112343621|21990232555855|1168231109063
1353175913567|21990232557028|1168231109063
1352893828731|24189255812726|1168231109063
1353078176243|26388279066773|1168231109063
1352928802539|26388279067202|1168231109063
1353123657052|28587302322180|1168231109063
1352837098735|32985348834665|1168231109063
1352799760304|35184372088985|1168231109063
1353193857699|35184372089633|1168231109063
1352763977226|35184372090106|1168231109063
1353095888962|37383395346041|1168231109063
1346600252949|21990232556183|1030792155916
1342219270433|26388279067210|1030792156268
1338103091272|17592186045627|962072679557
1346129464401|17592186045627|1030792156297
1346659335813|19791209300227|1030792156297
1346100939971|21990232556083|1030792156297
1346185495497|26388279067210|1030792156297
1338861937346|26388279067210|962072679615
1343569054289|28587302322311|1030792156384
1344253593201|4398046512405|1030792156467
1345304325724|8796093023077|1030792156897
1310085496716|15393162789912|549755819772
1344684904939|28587302322767|1030792156954
1348421773464|910|1099511633748
1345108849041|4398046511926|1030792157023
1336259723674|910|893353203624
1336148169520|2199023256904|893353203624
1336069847578|4398046511926|893353203624
1335853015206|4398046512405|893353203624
1336231056850|6597069767115|893353203624
1335986887403|8796093022726|893353203624
1335896422535|8796093023077|893353203624
1336213726115|13194139533919|893353203624
1336087416118|15393162789912|893353203624
1336019065098|19791209300778|893353203624
1336279036226|21990232556205|893353203624
1336213019196|24189255811441|893353203624
1336041682175|28587302322767|893353203624
1336404639057|28587302323163|893353203624
1344988517144|4398046511926|1030792157105
1348554846948|910|1099511633858
1348635045546|2199023256904|1099511633858
1348424225776|4398046511926|1099511633858
1348325453281|4398046512405|1099511633858
1348300029661|6597069767115|1099511633858
1348243054574|8796093022726|1099511633858
1348781304007|8796093023077|1099511633858
1348728934068|13194139533919|1099511633858
1348263234186|15393162789912|1099511633858
1348276636553|19791209300778|1099511633858
1348471116014|21990232556205|1099511633858
1348709817988|24189255811441|1099511633858
1348255587152|28587302322767|1099511633858
1348780443781|28587302323163|1099511633858
1348574457324|30786325578528|1099511633858
1348401827770|32985348834072|1099511633858
1343494099735|17592186045041|1030792157224
1343616912868|17592186045408|1030792157224
1340674836995|15393162789912|962072680619
1350498291351|42|1099511634118
1350518979396|1425|1099511634118
1350851292596|2199023255851|1099511634118
1350856425693|2199023255905|1099511634118
1350799124966|2199023256303|1099511634118
1350818714058|2199023256377|1099511634118
1350575597350|2199023257197|1099511634118
1350588379444|4398046512008|1099511634118
1350662823466|4398046512336|1099511634118
1350529112068|4398046512770|1099511634118
1350887612516|6597069767675|1099511634118
1350517460824|8796093023077|1099511634118
1350554415591|8796093023209|1099511634118
1350658934386|10995116278066|1099511634118
1350876582160|10995116279002|1099511634118
1350610087147|10995116279024|1099511634118
1350911046996|13194139533966|1099511634118
1350510533985|15393162789718|1099511634118
1350508766407|15393162789912|1099511634118
1350726460022|15393162789916|1099511634118
1350746965923|17592186045041|1099511634118
1350596898080|17592186045408|1099511634118
1350838957249|17592186045813|1099511634118
1350608362779|19791209300224|1099511634118
1350476155105|21990232556036|1099511634118
1350725495037|21990232556317|1099511634118
1350945001102|21990232556610|1099511634118
1350757969890|28587302322307|1099511634118
1350939424812|28587302322491|1099511634118
1350504025884|28587302322767|1099511634118
1350796537347|30786325578526|1099511634118
1350767902181|30786325578931|1099511634118
1350391130165|30786325579197|1099511634118
1350385455432|32985348834072|1099511634118
1350959210004|32985348834275|1099511634118
1350516732512|32985348834355|1099511634118
1350893778113|35184372089942|1099511634118
1350860708645|35184372090346|1099511634118
1337701244801|42|962072680673
1337837105869|1425|962072680673
1338012035456|2199023255851|962072680673
