creationdate:LONG|:START_ID(Person)|:END_ID(Post)
1269562905538|910|68719476767
1269254559343|910|68719476771
1346460791763|8796093023077|1030792151121
1346041774709|10995116279024|1030792151130
1275142830894|910|137438953583
1295164774565|8796093023077|412316860559
1295031941389|910|412316860568
1295042587936|8796093023077|412316860568
1294672119588|10995116279024|412316860568
1294812431622|10995116279024|412316860574
1295164434251|910|412316860578
1315784442545|10995116278132|618475290801
1278203136576|910|137438953668
1325375374802|910|755914244296
1325086004555|8796093023077|755914244296
1325525716042|10995116278132|755914244296
1325138473404|17592186044566|755914244296
1325592369915|21990232556617|755914244296
1293479169191|8796093023077|343597383893
1293249775808|910|343597383895
1293350593587|8796093023077|343597383895
1293437598668|10995116278132|343597383895
1293509013234|10995116279024|343597383895
1288728289825|8796093023077|274877907185
1289131274776|10995116279024|274877907185
1331742462807|910|893353197830
1331407779079|8796093023077|893353197830
1331752839815|10995116278132|893353197830
1331722373074|10995116279024|893353197830
1331479261797|17592186044566|893353197830
1331732311587|26388279067210|893353197830
1331640354511|8796093023077|893353197833
1341325071756|8796093023077|962072674578
1341446532542|10995116278132|962072674578
1341070968631|10995116279024|962072674578
1341069020646|21990232556617|962072674578
1341393634071|28587302322542|962072674578
1341476135930|8796093023077|962072674579
1341000716998|10995116278132|962072674579
1341414566880|10995116279024|962072674579
1341460705963|21990232556617|962072674579
1340962248704|28587302322542|962072674579
1314610782206|910|618475290939
1314775735991|10995116278132|618475290939
1315047950204|17592186044566|618475290939
1291495738220|910|343597384004
1339616417485|42|962072674714
1339779338963|910|962072674714
1339288737458|6597069767381|962072674714
1339450651346|10995116279197|962072674714
1339318411859|13194139534507|962072674714
1339555213603|17592186045813|962072674714
1339443126027|19791209301104|962072674714
1339245957958|21990232555855|962072674714
1339752858560|21990232556064|962072674714
1339241469911|26388279067332|962072674714
1298022810361|42|412316860898
1298003784511|910|412316860898
1298140339802|6597069767381|412316860898
1298075722214|10995116279197|412316860898
1297854567713|13194139534507|412316860898
1340205802317|8796093023616|962072675121
1351545818196|555|1099511628684
1351609181585|808|1099511628684
1351406251709|981|1099511628684
1351579890979|1223|1099511628684
1351155824694|1443|1099511628684
1351137893434|1582|1099511628684
1351685483893|1682|1099511628684
1351144773514|2199023255898|1099511628684
1351262759401|2199023256055|1099511628684
1351237192775|2199023256304|1099511628684
1293941378662|27|343597384718
1293999575427|555|343597384718
1293686399300|808|343597384718
1293732616557|981|343597384718
1294087033201|1223|343597384718
1294006972828|1682|343597384718
1294084769554|2199023255898|343597384718
1293926030882|2199023256055|343597384718
1293765072022|2199023256304|343597384718
1293539067178|2199023256573|343597384718
1294041773354|4398046511247|343597384718
1293562624910|4398046511357|343597384718
