creationdate:LONG|:START_ID(Person)|:END_ID(Organisation)|workfrom:LONG
1262531431499|14|603|2004
1262531431499|14|589|2004
1262531431499|14|591|2005
1264943583929|16|978|2005
1264943583929|16|972|2006
1263909070863|27|970|2008
1263909070863|27|974|2008
1263972727566|42|8|2002
1266659387443|46|787|2005
1266659387443|46|779|2006
1266659387443|46|781|2006
1266659387443|46|799|2004
1262693557385|66|547|2003
1262693557385|66|551|2003
1263780113909|100|22|2007
1266571013438|107|698|2011
1266583334255|166|106|2005
1266583334255|166|109|2012
1262306766678|181|304|2005
1262306766678|181|306|2003
1262306766678|181|307|2003
1262306766678|181|303|2005
1264861403459|325|305|2001
1264861403459|325|307|2001
1264432221430|347|933|2002
1263129866708|375|1559|2003
1263129866708|375|1560|2004
1264596336698|412|603|2001
1264596336698|412|604|2000
1266740262178|435|920|2006
1266740262178|435|345|2007
1266740262178|435|937|2008
1266740262178|435|907|2007
1264365131771|448|938|2003
1266756213240|455|1141|2006
1266756213240|455|1158|2006
1266756213240|455|1160|2007
1266756213240|455|1146|2005
1267074638286|460|83|2009
1267074638286|460|460|2010
1266147346669|478|1072|2007
1266147346669|478|1040|2008
1266147346669|478|1026|2008
1266147346669|478|1044|2008
1266147346669|478|1065|2007
1264573033238|490|551|2004
1264573033238|490|541|2003
1264573033238|490|543|2003
1263841874363|529|960|2012
1263841874363|529|965|2006
1266088848228|555|931|2003
1266088848228|555|933|2002
1266088848228|555|729|2003
1266088848228|555|923|2002
1266088848228|555|925|2001
1263880983336|599|1018|2001
1263880983336|599|1019|2002
1267144384619|673|1255|2006
1267144384619|673|1242|2005
1267144384619|673|1245|2006
1266632529856|690|36|2000
1266632529856|690|202|2002
1266632529856|690|203|2000
1264468025669|699|1138|2005
1264468025669|699|1139|2005
1263288340126|701|728|2008
1263288340126|701|729|2006
1264358795614|705|1324|2009
1264358795614|705|1325|2009
1262809681024|756|833|2010
1262809681024|756|836|2010
1262809681024|756|842|2011
1262809681024|756|843|2011
1262809681024|756|829|2011
1262930410612|772|1164|2004
1262930410612|772|1167|2003
1265291907400|773|1459|2007
1265291907400|773|101|2006
1265291907400|773|1526|2007
1265291907400|773|1466|2007
1265291907400|773|1450|2005
1265763045975|783|1297|2007
1265763045975|783|1298|2007
1265763045975|783|1300|2007
1265763045975|783|1301|2007
1265150621454|786|1281|2007
1265150621454|786|305|2006
1262995521040|808|540|2006
1262995521040|808|542|2007
1262995521040|808|543|2007
1267322938657|859|736|2004
1267322938657|859|544|2005
1267322938657|859|549|2005
1267322938657|859|553|2003
1267322938657|859|106|2005
1265887774131|881|1332|2007
1265887774131|881|1109|2005
1265887774131|881|1333|2006
1265887774131|881|1327|2006
1262607274965|903|1520|2004
1262607274965|903|1491|2004
1262607274965|903|1519|2003
1266356466249|933|1226|2010
1266356466249|933|1229|2009
1264088088534|981|736|2010
1264814587211|983|394|2003
1264814587211|983|843|2003
1264814587211|983|828|2004
1264814587211|983|830|2003
1264767771239|1037|464|2000
1264767771239|1037|456|2000
1264767771239|1037|472|1999
1264767771239|1037|474|1999
1264767771239|1037|463|1999
1262571387124|1065|896|2001
1262571387124|1065|889|2001
1262571387124|1065|890|2001
1262571387124|1065|891|2002
1262571387124|1065|892|2002
1262394969935|1096|672|2007
1264838003075|1130|546|2009
1264838003075|1130|549|2008
1264838003075|1130|554|2008
1264838003075|1130|541|2007
1265956952659|1171|936|2005
1265956952659|1171|937|2006
1263826843490|1180|993|2010
1263826843490|1180|994|2009
1263826843490|1180|991|2009
1265268740964|1204|107|2005
1265268740964|1204|108|2004
1265268740964|1204|109|2004
1263814294721|1223|1186|2004
1263814294721|1223|1223|2003
1263814294721|1223|1196|2004
1266118105768|1230|1510|2002
1266118105768|1230|1519|2002
1266076806846|1251|834|2007
1267446730059|1270|753|2006
1267446730059|1270|991|2006
1262609318958|1286|1031|2002
1267557176926|1295|1117|2004
1267557176926|1295|686|2005
1263497163773|1305|1344|2003
1263497163773|1305|1332|2002
1263497163773|1305|1338|2003
1267025231398|1312|919|2004
1267025231398|1312|935|2010
1267025231398|1312|926|2007
1263329661532|1331|835|2007
1263329661532|1331|838|2008
1263329661532|1331|843|2008
1265352623437|1344|70|2007
1265352623437|1344|60|2007
1266593378071|1364|795|2009
1266593378071|1364|783|2008
1266674468026|1374|896|2004
1266674468026|1374|887|2003
1266674468026|1374|889|2004
1266674468026|1374|891|2004
1266674468026|1374|895|2004
1265033722461|1403|6|2008
1265033722461|1403|665|2009
1265033722461|1403|826|2010
1266491943789|1412|544|2010
1266491943789|1412|552|2010
1263086692127|1420|1522|2009
1263086692127|1420|2|2011
1263086692127|1420|1529|2012
1263086692127|1420|1450|2009
1263086692127|1420|1530|2009
1264020722254|1425|928|2007
1264020722254|1425|916|2006
1264020722254|1425|938|2007
1264020722254|1425|906|2005
1264711430602|1428|1557|2010
1264711430602|1428|1559|2010
1264711430602|1428|1560|2010
1265577915217|1435|1457|2006
1265577915217|1435|1475|2004
1265577915217|1435|1524|2006
1265577915217|1435|1482|2005
1264147361027|1443|642|2006
1264147361027|1443|618|2004
1265860337064|1448|1559|2006
1265860337064|1448|1560|2005
1265860337064|1448|1561|2006
1265709572706|1467|548|2005
1265709572706|1467|550|2006
1265709572706|1467|552|2007
1265709572706|1467|541|2005
1265709572706|1467|543|2005
1265924326327|1494|907|2004
1265924326327|1494|924|2004
1263722632857|1505|923|2002
1267036648061|1555|727|2004
1263369027569|1582|784|2005
1263369027569|1582|548|2004
1263369027569|1582|745|2004
1266489033485|1605|544|2007
1266489033485|1605|547|2009
1266489033485|1605|554|2009
1265403170278|1608|296|2011
1265403170278|1608|297|2011
1265403170278|1608|298|2012
1265600186551|1628|680|2011
1266875590692|1640|547|2009
1266875590692|1640|538|2009
1266875590692|1640|543|2010
1264915714959|1646|549|2003
1263862964763|1649|1250|2002
1263862964763|1649|1238|2002
1263862964763|1649|1258|2001
1263862964763|1649|1242|2001
1263862964763|1649|1259|2001
1265489418046|1661|805|2006
1266229553204|1681|256|2007
1263355192085|1682|777|2007
1271554041494|2199023255573|890|2008
1271554041494|2199023255573|892|2008
1269846723859|2199023255590|800|2010
1269846723859|2199023255590|808|2008
1269846723859|2199023255590|780|2011
1269846723859|2199023255590|798|2011
1272428168277|2199023255641|538|2007
1268850406550|2199023255672|832|2008
1268850406550|2199023255672|840|2007
1268850406550|2199023255672|841|2007
1268850406550|2199023255672|809|2008
1268850406550|2199023255672|842|2008
1268990809641|2199023255686|864|2006
1268990809641|2199023255686|865|2008
1272643203437|2199023255691|863|2004
1267952635716|2199023255737|803|2009
1267952635716|2199023255737|805|2009
1267952635716|2199023255737|732|2008
1272411666910|2199023255744|545|2006
1272411666910|2199023255744|550|2007
1272411666910|2199023255744|539|2001
1272411666910|2199023255744|543|2003
1269950047818|2199023255767|826|2009
1269950047818|2199023255767|827|2009
1268457444814|2199023255778|1558|2009
1268457444814|2199023255778|1560|2010
1269477104608|2199023255782|1558|2001
1271604055401|2199023255783|896|2009
1271604055401|2199023255783|897|2010
1271604055401|2199023255783|891|2010
1268749984377|2199023255797|1001|2004
1270128232723|2199023255862|789|2008
1270714087483|2199023255869|865|2004
1270714087483|2199023255869|866|2003
1269214662535|2199023255898|1140|2006
1269214662535|2199023255898|1144|2009
1269214662535|2199023255898|1146|2008
1271755578217|2199023255949|7|2005
1271755578217|2199023255949|8|2006
1271755578217|2199023255949|9|2005
1271755578217|2199023255949|1129|2006
1271755578217|2199023255949|10|2006
1271955339573|2199023255978|966|2008
1272463391295|2199023255989|1018|2004
1272463391295|2199023255989|1021|2009
1269801151186|2199023255994|1001|2007
1268632542699|2199023256031|256|2010
1268632542699|2199023256031|259|2009
1268632542699|2199023256031|253|2009
1270072281233|2199023256055|1281|2002
1270072281233|2199023256055|342|2003
1270072281233|2199023256055|280|2003
1270072281233|2199023256055|1117|2003
1267707554074|2199023256083|478|2007
1268409594252|2199023256183|266|2005
1268409594252|2199023256183|1245|2005
1269528671247|2199023256187|928|2004
1269528671247|2199023256187|911|2004
1270473137854|2199023256230|960|2006
1270473137854|2199023256230|949|2007
1270473137854|2199023256230|774|2008
1270473137854|2199023256230|968|2007
1270473137854|2199023256230|957|2007
1270078976472|2199023256287|688|2009
1270078976472|2199023256287|689|2010
1270495964926|2199023256293|920|2003
1271950825158|2199023256302|614|2009
1270270368559|2199023256303|930|2008
1270270368559|2199023256303|915|2007
1270270368559|2199023256303|935|2007
1270270368559|2199023256303|926|2007
1270270368559|2199023256303|927|2008
1270617991591|2199023256304|117|2001
1270617991591|2199023256304|110|2002
1270617991591|2199023256304|111|2003
1272210574090|2199023256313|548|2003
1272210574090|2199023256313|549|2003
1272210574090|2199023256313|550|2002
1272210574090|2199023256313|541|2004
1268687468210|2199023256317|913|2000
1268687468210|2199023256317|935|2002
1268687468210|2199023256317|920|2000
1269096269525|2199023256361|480|2012
1269096269525|2199023256361|483|2011
