:START_ID(disease)|:END_ID(food)|type:STRING|name:STRING
7035|14973|忌吃|忌吃
7809|16407|忌吃|忌吃
3087|15482|忌吃|忌吃
7476|16303|忌吃|忌吃
5977|13214|忌吃|忌吃
7738|15487|忌吃|忌吃
5775|14361|忌吃|忌吃
5981|13155|忌吃|忌吃
1949|17464|忌吃|忌吃
4249|13897|忌吃|忌吃
2652|13963|忌吃|忌吃
3142|16596|忌吃|忌吃
2033|15510|忌吃|忌吃
1076|15943|忌吃|忌吃
7032|15519|忌吃|忌吃
5507|13155|忌吃|忌吃
939|15510|忌吃|忌吃
1502|13897|忌吃|忌吃
420|16676|忌吃|忌吃
7874|13214|忌吃|忌吃
7560|14361|忌吃|忌吃
7052|16515|忌吃|忌吃
7155|13050|忌吃|忌吃
3098|14361|忌吃|忌吃
6452|13897|忌吃|忌吃
747|13897|忌吃|忌吃
5161|17307|忌吃|忌吃
3938|13214|忌吃|忌吃
235|15512|忌吃|忌吃
2618|16243|忌吃|忌吃
1642|14361|忌吃|忌吃
3116|15482|忌吃|忌吃
5041|16851|忌吃|忌吃
4149|13321|忌吃|忌吃
2072|15510|忌吃|忌吃
2226|17144|忌吃|忌吃
8469|14537|忌吃|忌吃
3212|13897|忌吃|忌吃
1486|13321|忌吃|忌吃
2981|15475|忌吃|忌吃
7289|16243|忌吃|忌吃
789|13897|忌吃|忌吃
456|13897|忌吃|忌吃
3640|15206|忌吃|忌吃
4808|15475|忌吃|忌吃
1237|13321|忌吃|忌吃
6085|13155|忌吃|忌吃
4477|13897|忌吃|忌吃
1293|15743|忌吃|忌吃
3307|13214|忌吃|忌吃
5015|12652|忌吃|忌吃
4756|13214|忌吃|忌吃
1925|13321|忌吃|忌吃
2047|13321|忌吃|忌吃
5721|15996|忌吃|忌吃
3392|15475|忌吃|忌吃
6887|13786|忌吃|忌吃
2770|13786|忌吃|忌吃
40|16596|忌吃|忌吃
6248|15551|忌吃|忌吃
2907|15482|忌吃|忌吃
8240|12644|忌吃|忌吃
3090|15487|忌吃|忌吃
872|14361|忌吃|忌吃
120|15510|忌吃|忌吃
4555|14361|忌吃|忌吃
2960|15475|忌吃|忌吃
1576|15743|忌吃|忌吃
5692|12898|忌吃|忌吃
5858|15510|忌吃|忌吃
1342|15743|忌吃|忌吃
8120|15877|忌吃|忌吃
838|15510|忌吃|忌吃
1396|13897|忌吃|忌吃
3049|14361|忌吃|忌吃
2029|16596|忌吃|忌吃
3323|16596|忌吃|忌吃
1445|16596|忌吃|忌吃
6557|12644|忌吃|忌吃
7501|17333|忌吃|忌吃
3196|16676|忌吃|忌吃
4682|15045|忌吃|忌吃
2531|16596|忌吃|忌吃
6576|13214|忌吃|忌吃
2809|13214|忌吃|忌吃
3952|14361|忌吃|忌吃
4095|17336|忌吃|忌吃
1112|16945|忌吃|忌吃
7813|13897|忌吃|忌吃
1226|13897|忌吃|忌吃
7213|13897|忌吃|忌吃
8140|17333|忌吃|忌吃
220|16596|忌吃|忌吃
4309|12911|忌吃|忌吃
2254|15996|忌吃|忌吃
4227|15820|忌吃|忌吃
6780|14210|忌吃|忌吃
3209|15475|忌吃|忌吃
2150|16243|忌吃|忌吃
482|16127|忌吃|忌吃
2888|13897|忌吃|忌吃
3131|15482|忌吃|忌吃
1509|16596|忌吃|忌吃
772|16758|忌吃|忌吃
3932|13214|忌吃|忌吃
2133|17464|忌吃|忌吃
7889|15996|忌吃|忌吃
6205|13155|忌吃|忌吃
6728|15877|忌吃|忌吃
1904|16596|忌吃|忌吃
2747|14361|忌吃|忌吃
5028|13321|忌吃|忌吃
5697|15355|忌吃|忌吃
1852|13155|忌吃|忌吃
2178|16596|忌吃|忌吃
1418|14537|忌吃|忌吃
2864|13214|忌吃|忌吃
7104|15355|忌吃|忌吃
2143|15510|忌吃|忌吃
2781|14361|忌吃|忌吃
2608|15487|忌吃|忌吃
4815|15045|忌吃|忌吃
3380|14361|忌吃|忌吃
7416|17333|忌吃|忌吃
3464|14361|忌吃|忌吃
7753|15487|忌吃|忌吃
7063|14537|忌吃|忌吃
760|15864|忌吃|忌吃
2599|14361|忌吃|忌吃
4839|12911|忌吃|忌吃
1118|13897|忌吃|忌吃
6711|14537|忌吃|忌吃
597|15943|忌吃|忌吃
3789|12753|忌吃|忌吃
5590|15475|忌吃|忌吃
4107|13897|忌吃|忌吃
4523|15510|忌吃|忌吃
8133|14361|忌吃|忌吃
7640|15510|忌吃|忌吃
1086|14361|忌吃|忌吃
6021|13897|忌吃|忌吃
2300|14361|忌吃|忌吃
3522|12800|忌吃|忌吃
1774|13155|忌吃|忌吃
3224|13897|忌吃|忌吃
4509|15820|忌吃|忌吃
6016|13214|忌吃|忌吃
353|16127|忌吃|忌吃
1059|13897|忌吃|忌吃
1543|16596|忌吃|忌吃
562|15487|忌吃|忌吃
6032|15487|忌吃|忌吃
7215|14973|忌吃|忌吃
3767|15385|忌吃|忌吃
7405|13953|忌吃|忌吃
7230|13050|忌吃|忌吃
2152|15487|忌吃|忌吃
1530|13321|忌吃|忌吃
4903|15475|忌吃|忌吃
3230|17464|忌吃|忌吃
8427|15475|忌吃|忌吃
1115|16945|忌吃|忌吃
6073|16945|忌吃|忌吃
4465|16596|忌吃|忌吃
8424|14308|忌吃|忌吃
4440|13897|忌吃|忌吃
2373|14361|忌吃|忌吃
888|17464|忌吃|忌吃
1196|14328|忌吃|忌吃
7390|17333|忌吃|忌吃
7443|14363|忌吃|忌吃
3023|15475|忌吃|忌吃
5383|15045|忌吃|忌吃
8694|15510|忌吃|忌吃
1689|15510|忌吃|忌吃
136|17333|忌吃|忌吃
4207|16596|忌吃|忌吃
690|15820|忌吃|忌吃
21|15290|忌吃|忌吃
2736|13786|忌吃|忌吃
698|15510|忌吃|忌吃
1753|15609|忌吃|忌吃
3908|13897|忌吃|忌吃
7989|15587|忌吃|忌吃
2316|13214|忌吃|忌吃
2461|16676|忌吃|忌吃
4175|14361|忌吃|忌吃
7364|13214|忌吃|忌吃
24|15510|忌吃|忌吃
6065|16223|忌吃|忌吃
8338|13797|忌吃|忌吃
2111|13897|忌吃|忌吃
3933|13897|忌吃|忌吃
7242|12652|忌吃|忌吃
1081|16945|忌吃|忌吃
950|15743|忌吃|忌吃
7218|14537|忌吃|忌吃
711|15820|忌吃|忌吃
1461|15475|忌吃|忌吃
252|15510|忌吃|忌吃
1322|16596|忌吃|忌吃
1434|13321|忌吃|忌吃
7986|13897|忌吃|忌吃
5225|13963|忌吃|忌吃
2955|17464|忌吃|忌吃
1513|15452|忌吃|忌吃
249|13897|忌吃|忌吃
7273|14361|忌吃|忌吃
5603|13214|忌吃|忌吃
304|14585|忌吃|忌吃
405|14537|忌吃|忌吃
6325|12950|忌吃|忌吃
1279|14361|忌吃|忌吃
5274|13214|忌吃|忌吃
607|15943|忌吃|忌吃
1338|14361|忌吃|忌吃
6202|16223|忌吃|忌吃
507|13897|忌吃|忌吃
2572|13897|忌吃|忌吃
2595|15206|忌吃|忌吃
7773|16708|忌吃|忌吃
6011|15510|忌吃|忌吃
2110|16596|忌吃|忌吃
2390|13897|忌吃|忌吃
7516|15487|忌吃|忌吃
1840|17464|忌吃|忌吃
3317|15996|忌吃|忌吃
5305|13963|忌吃|忌吃
5977|13155|忌吃|忌吃
4985|15045|忌吃|忌吃
6253|14361|忌吃|忌吃
2007|16596|忌吃|忌吃
5305|16851|忌吃|忌吃
5084|14361|忌吃|忌吃
2342|17464|忌吃|忌吃
8349|13786|忌吃|忌吃
1370|13897|忌吃|忌吃
373|16127|忌吃|忌吃
8067|13897|忌吃|忌吃
6702|17333|忌吃|忌吃
202|16596|忌吃|忌吃
7638|13897|忌吃|忌吃
474|14505|忌吃|忌吃
5501|15273|忌吃|忌吃
2111|16596|忌吃|忌吃
5254|13897|忌吃|忌吃
1099|13897|忌吃|忌吃
3013|13897|忌吃|忌吃
6205|14579|忌吃|忌吃
6931|15482|忌吃|忌吃
6890|14897|忌吃|忌吃
6338|12898|忌吃|忌吃
590|16758|忌吃|忌吃
3990|13897|忌吃|忌吃
1942|17464|忌吃|忌吃
3175|13786|忌吃|忌吃
