id:ID|name:STRING|label:STRING
17506|剖胸术|检查手段
17507|中和试验|检查手段
17508|粪便量|检查手段
17509|隐血试验与含铁血黄素检查|检查手段
17510|输卵管通气试验|检查手段
17511|EAC玫瑰花结形成试验|检查手段
17512|踝反射|检查手段
17513|肘后三角检查|检查手段
17514|嗜中性杆状粒细胞数|检查手段
17515|五官MRI检查|检查手段
17516|乳头刺激试验|检查手段
17517|于夏征|检查手段
17518|硬币叩击征|检查手段
17519|乙型肝炎核心抗体免疫球蛋白G|检查手段
17520|游离肝素时间|检查手段
17521|异柠檬酸脱氢酶|检查手段
17522|胎儿碱性蛋白（BFP）|检查手段
17523|乙型肝炎核心抗体免疫球蛋白M|检查手段
17524|关节腔液检查|检查手段
17525|肺炎支原体补体结合试验|检查手段
17526|表试验|检查手段
17527|β-脂蛋白定量|检查手段
17528|糖化血清蛋白（GSP）|检查手段
17529|心肌灌注显像|检查手段
17530|脑脊液5-羟吲哚乙酸|检查手段
17531|输卵管通液检查|检查手段
17532|头颅形状|检查手段
17533|眼底微血管检查|检查手段
17534|抗着丝点抗体|检查手段
17535|过指试验|检查手段
17536|抗心磷脂抗体|检查手段
17537|溶解酶|检查手段
17538|泪腺检查法|检查手段
17539|脑脊液P物质|检查手段
17540|血液果糖|检查手段
17541|胸腹水常规检查|检查手段
17542|甲型肝炎抗体|检查手段
17543|肛门反射|检查手段
17544|脑脊液蛋白电泳|检查手段
17545|脐检查|检查手段
17546|气管软化试验|检查手段
17547|寄生虫检查的直接涂片法|检查手段
17548|布莱恩特三角检查|检查手段
17549|乳酸脱氢酶同工酶|检查手段
17550|粒细胞集落刺激因子|检查手段
17551|乳突CT检查|检查手段
17552|激发试验|检查手段
17553|窦道及瘘管造影|检查手段
17554|阴道滴虫检查|检查手段
17555|翻转上睑方法|检查手段
17556|五肽胃泌素胃液分析|检查手段
17557|糖尿病视网膜病变检查|检查手段
17558|乳酸脱氢酶(LDH|LD)|检查手段
17559|尿比重3h试验|检查手段
