:START_ID(disease)|:END_ID(recipe)|type:STRING|name:STRING
2742|15531|推荐食谱|推荐食谱
2884|17439|推荐食谱|推荐食谱
5152|15154|推荐食谱|推荐食谱
6242|16419|推荐食谱|推荐食谱
514|15308|推荐食谱|推荐食谱
4541|13514|推荐食谱|推荐食谱
6902|17149|推荐食谱|推荐食谱
3020|16871|推荐食谱|推荐食谱
1061|15517|推荐食谱|推荐食谱
2298|12692|推荐食谱|推荐食谱
208|15056|推荐食谱|推荐食谱
215|16690|推荐食谱|推荐食谱
7466|14284|推荐食谱|推荐食谱
932|15992|推荐食谱|推荐食谱
6961|16391|推荐食谱|推荐食谱
627|14876|推荐食谱|推荐食谱
692|13651|推荐食谱|推荐食谱
3608|16681|推荐食谱|推荐食谱
3320|13325|推荐食谱|推荐食谱
1956|15535|推荐食谱|推荐食谱
6103|16598|推荐食谱|推荐食谱
1430|17114|推荐食谱|推荐食谱
2495|16779|推荐食谱|推荐食谱
2435|14575|推荐食谱|推荐食谱
359|12869|推荐食谱|推荐食谱
1096|15517|推荐食谱|推荐食谱
3752|14403|推荐食谱|推荐食谱
7255|16419|推荐食谱|推荐食谱
6786|12853|推荐食谱|推荐食谱
1813|14464|推荐食谱|推荐食谱
4242|13931|推荐食谱|推荐食谱
2023|13271|推荐食谱|推荐食谱
2825|16889|推荐食谱|推荐食谱
3202|14544|推荐食谱|推荐食谱
7262|13258|推荐食谱|推荐食谱
5508|14674|推荐食谱|推荐食谱
81|16483|推荐食谱|推荐食谱
3397|17396|推荐食谱|推荐食谱
14|17148|推荐食谱|推荐食谱
1891|17265|推荐食谱|推荐食谱
2821|15682|推荐食谱|推荐食谱
5386|15418|推荐食谱|推荐食谱
5493|12915|推荐食谱|推荐食谱
2998|15395|推荐食谱|推荐食谱
1458|15196|推荐食谱|推荐食谱
4364|14908|推荐食谱|推荐食谱
7179|16419|推荐食谱|推荐食谱
218|14801|推荐食谱|推荐食谱
4366|15447|推荐食谱|推荐食谱
5393|12770|推荐食谱|推荐食谱
2072|16690|推荐食谱|推荐食谱
4798|12971|推荐食谱|推荐食谱
5682|15930|推荐食谱|推荐食谱
8334|16714|推荐食谱|推荐食谱
8672|15116|推荐食谱|推荐食谱
4278|16540|推荐食谱|推荐食谱
5647|15682|推荐食谱|推荐食谱
4128|12855|推荐食谱|推荐食谱
4886|12723|推荐食谱|推荐食谱
6036|15616|推荐食谱|推荐食谱
219|15454|推荐食谱|推荐食谱
1746|16581|推荐食谱|推荐食谱
601|15871|推荐食谱|推荐食谱
5348|13296|推荐食谱|推荐食谱
378|15184|推荐食谱|推荐食谱
992|12987|推荐食谱|推荐食谱
3261|16429|推荐食谱|推荐食谱
2503|14246|推荐食谱|推荐食谱
8105|16411|推荐食谱|推荐食谱
689|15185|推荐食谱|推荐食谱
1466|17411|推荐食谱|推荐食谱
620|16665|推荐食谱|推荐食谱
4482|15214|推荐食谱|推荐食谱
3645|12933|推荐食谱|推荐食谱
2374|16419|推荐食谱|推荐食谱
3065|15419|推荐食谱|推荐食谱
1961|15075|推荐食谱|推荐食谱
6864|12942|推荐食谱|推荐食谱
48|16342|推荐食谱|推荐食谱
4940|16305|推荐食谱|推荐食谱
2780|16068|推荐食谱|推荐食谱
3376|15394|推荐食谱|推荐食谱
650|13303|推荐食谱|推荐食谱
1068|15651|推荐食谱|推荐食谱
6283|14229|推荐食谱|推荐食谱
6884|14081|推荐食谱|推荐食谱
7503|14427|推荐食谱|推荐食谱
66|15200|推荐食谱|推荐食谱
8446|13179|推荐食谱|推荐食谱
131|13715|推荐食谱|推荐食谱
1672|16419|推荐食谱|推荐食谱
6848|14728|推荐食谱|推荐食谱
4845|14630|推荐食谱|推荐食谱
3773|15916|推荐食谱|推荐食谱
6179|12896|推荐食谱|推荐食谱
4724|15911|推荐食谱|推荐食谱
2908|12933|推荐食谱|推荐食谱
1376|17341|推荐食谱|推荐食谱
4859|16823|推荐食谱|推荐食谱
6016|13671|推荐食谱|推荐食谱
6927|12655|推荐食谱|推荐食谱
1275|13676|推荐食谱|推荐食谱
2597|14508|推荐食谱|推荐食谱
6974|15123|推荐食谱|推荐食谱
5735|16456|推荐食谱|推荐食谱
7400|15101|推荐食谱|推荐食谱
1544|16856|推荐食谱|推荐食谱
7222|13326|推荐食谱|推荐食谱
1237|16714|推荐食谱|推荐食谱
3439|17377|推荐食谱|推荐食谱
1656|13623|推荐食谱|推荐食谱
7893|16620|推荐食谱|推荐食谱
4582|13771|推荐食谱|推荐食谱
1684|15447|推荐食谱|推荐食谱
584|17093|推荐食谱|推荐食谱
3341|17001|推荐食谱|推荐食谱
1915|14131|推荐食谱|推荐食谱
