:START_ID(disease)|:END_ID(food)|type:STRING|name:STRING
6811|12753|宜吃|宜吃
7113|13767|宜吃|宜吃
1281|15512|宜吃|宜吃
6637|17356|宜吃|宜吃
7641|12965|宜吃|宜吃
6175|14597|宜吃|宜吃
804|15820|宜吃|宜吃
1793|13015|宜吃|宜吃
3534|12753|宜吃|宜吃
3697|16945|宜吃|宜吃
417|14210|宜吃|宜吃
7287|13585|宜吃|宜吃
5917|16478|宜吃|宜吃
1626|16478|宜吃|宜吃
3897|16945|宜吃|宜吃
939|15510|宜吃|宜吃
5035|15820|宜吃|宜吃
3011|16389|宜吃|宜吃
234|15512|宜吃|宜吃
1591|15510|宜吃|宜吃
600|17336|宜吃|宜吃
4419|15385|宜吃|宜吃
7531|15045|宜吃|宜吃
3281|14154|宜吃|宜吃
3105|14154|宜吃|宜吃
7452|12965|宜吃|宜吃
526|14045|宜吃|宜吃
485|16389|宜吃|宜吃
4|16652|宜吃|宜吃
7466|12965|宜吃|宜吃
4742|14045|宜吃|宜吃
2323|15864|宜吃|宜吃
288|15451|宜吃|宜吃
7164|14154|宜吃|宜吃
2126|15109|宜吃|宜吃
7814|14154|宜吃|宜吃
1893|15451|宜吃|宜吃
7624|15512|宜吃|宜吃
6234|14045|宜吃|宜吃
2010|14154|宜吃|宜吃
8748|15512|宜吃|宜吃
4588|13026|宜吃|宜吃
1884|16478|宜吃|宜吃
1561|14652|宜吃|宜吃
1897|13585|宜吃|宜吃
6998|16478|宜吃|宜吃
1842|14652|宜吃|宜吃
6603|15487|宜吃|宜吃
2126|15820|宜吃|宜吃
3406|14945|宜吃|宜吃
5428|15316|宜吃|宜吃
1942|15512|宜吃|宜吃
7189|15512|宜吃|宜吃
4820|16851|宜吃|宜吃
256|15512|宜吃|宜吃
4939|13767|宜吃|宜吃
4364|16478|宜吃|宜吃
5996|15510|宜吃|宜吃
6576|14154|宜吃|宜吃
6848|17272|宜吃|宜吃
1340|14166|宜吃|宜吃
5634|16080|宜吃|宜吃
7776|17307|宜吃|宜吃
7717|14007|宜吃|宜吃
3963|13767|宜吃|宜吃
280|14652|宜吃|宜吃
407|15820|宜吃|宜吃
1488|16127|宜吃|宜吃
5848|13457|宜吃|宜吃
1058|15451|宜吃|宜吃
848|14652|宜吃|宜吃
1086|15864|宜吃|宜吃
4115|14328|宜吃|宜吃
146|16389|宜吃|宜吃
6804|15512|宜吃|宜吃
4682|15045|宜吃|宜吃
3355|16389|宜吃|宜吃
7088|16127|宜吃|宜吃
2254|14154|宜吃|宜吃
6089|14045|宜吃|宜吃
472|14210|宜吃|宜吃
405|15820|宜吃|宜吃
7183|16478|宜吃|宜吃
4182|15045|宜吃|宜吃
4363|15487|宜吃|宜吃
5868|14652|宜吃|宜吃
5737|16127|宜吃|宜吃
4138|14328|宜吃|宜吃
8154|15487|宜吃|宜吃
825|16945|宜吃|宜吃
1422|13603|宜吃|宜吃
1837|15510|宜吃|宜吃
7744|15385|宜吃|宜吃
1666|13953|宜吃|宜吃
3167|16389|宜吃|宜吃
8794|15864|宜吃|宜吃
5457|13767|宜吃|宜吃
2691|14045|宜吃|宜吃
5213|13363|宜吃|宜吃
5964|15487|宜吃|宜吃
783|14652|宜吃|宜吃
2881|14045|宜吃|宜吃
1358|14166|宜吃|宜吃
1390|15451|宜吃|宜吃
2174|16389|宜吃|宜吃
3094|14154|宜吃|宜吃
6332|14154|宜吃|宜吃
2506|16478|宜吃|宜吃
1695|15864|宜吃|宜吃
1331|14652|宜吃|宜吃
5523|15143|宜吃|宜吃
704|16851|宜吃|宜吃
1524|13585|宜吃|宜吃
626|17336|宜吃|宜吃
8244|14166|宜吃|宜吃
7806|13953|宜吃|宜吃
775|15512|宜吃|宜吃
4846|14154|宜吃|宜吃
6587|15045|宜吃|宜吃
1531|15512|宜吃|宜吃
1863|15045|宜吃|宜吃
6659|15512|宜吃|宜吃
758|14652|宜吃|宜吃
839|15451|宜吃|宜吃
8570|14045|宜吃|宜吃
7403|16478|宜吃|宜吃
3477|15045|宜吃|宜吃
7913|14007|宜吃|宜吃
2186|16389|宜吃|宜吃
611|15451|宜吃|宜吃
1859|16478|宜吃|宜吃
4026|15512|宜吃|宜吃
2118|13015|宜吃|宜吃
4487|15512|宜吃|宜吃
3708|14154|宜吃|宜吃
5035|14328|宜吃|宜吃
6973|17272|宜吃|宜吃
5477|14045|宜吃|宜吃
1814|15510|宜吃|宜吃
3394|17336|宜吃|宜吃
1230|14154|宜吃|宜吃
6614|16389|宜吃|宜吃
1640|13953|宜吃|宜吃
574|15512|宜吃|宜吃
5110|14103|宜吃|宜吃
1612|15510|宜吃|宜吃
7515|16478|宜吃|宜吃
4171|13767|宜吃|宜吃
7718|15512|宜吃|宜吃
1867|16478|宜吃|宜吃
5701|17307|宜吃|宜吃
3274|15510|宜吃|宜吃
2223|14166|宜吃|宜吃
5221|13831|宜吃|宜吃
5463|15725|宜吃|宜吃
5762|13070|宜吃|宜吃
4058|12753|宜吃|宜吃
8334|15512|宜吃|宜吃
3017|15512|宜吃|宜吃
1547|13585|宜吃|宜吃
1891|15045|宜吃|宜吃
998|15864|宜吃|宜吃
640|16851|宜吃|宜吃
1590|16389|宜吃|宜吃
3338|12753|宜吃|宜吃
3292|15512|宜吃|宜吃
2373|17078|宜吃|宜吃
3295|17336|宜吃|宜吃
6021|15512|宜吃|宜吃
6339|12644|宜吃|宜吃
343|15820|宜吃|宜吃
615|17336|宜吃|宜吃
5578|13713|宜吃|宜吃
1720|16478|宜吃|宜吃
1658|14045|宜吃|宜吃
5981|15143|宜吃|宜吃
6448|12965|宜吃|宜吃
3392|15487|宜吃|宜吃
2818|14154|宜吃|宜吃
4608|16389|宜吃|宜吃
7256|12965|宜吃|宜吃
5660|16383|宜吃|宜吃
5087|16389|宜吃|宜吃
7564|15512|宜吃|宜吃
3208|14945|宜吃|宜吃
1214|14652|宜吃|宜吃
6693|14154|宜吃|宜吃
2930|17336|宜吃|宜吃
997|17336|宜吃|宜吃
1275|16407|宜吃|宜吃
4610|13767|宜吃|宜吃
7721|14154|宜吃|宜吃
8411|15864|宜吃|宜吃
7612|14652|宜吃|宜吃
3236|14328|宜吃|宜吃
5599|16389|宜吃|宜吃
