:START_ID(disease)|:END_ID(treatment_plan)|type:STRING|name:STRING
6733|44325|治疗方法|治疗方法
8393|44325|治疗方法|治疗方法
1783|44309|治疗方法|治疗方法
2232|44466|治疗方法|治疗方法
351|44535|治疗方法|治疗方法
8229|44466|治疗方法|治疗方法
4198|44325|治疗方法|治疗方法
7280|44466|治疗方法|治疗方法
6214|44466|治疗方法|治疗方法
1608|44159|治疗方法|治疗方法
4850|44426|治疗方法|治疗方法
3106|44466|治疗方法|治疗方法
3277|44397|治疗方法|治疗方法
1423|44535|治疗方法|治疗方法
5446|44494|治疗方法|治疗方法
508|44466|治疗方法|治疗方法
70|44535|治疗方法|治疗方法
300|44466|治疗方法|治疗方法
1268|44159|治疗方法|治疗方法
3246|44159|治疗方法|治疗方法
5450|44466|治疗方法|治疗方法
769|44325|治疗方法|治疗方法
563|44159|治疗方法|治疗方法
4345|44494|治疗方法|治疗方法
5159|44227|治疗方法|治疗方法
684|44466|治疗方法|治疗方法
6261|44466|治疗方法|治疗方法
1507|44466|治疗方法|治疗方法
379|44325|治疗方法|治疗方法
5005|44535|治疗方法|治疗方法
5648|44517|治疗方法|治疗方法
796|44257|治疗方法|治疗方法
4294|44202|治疗方法|治疗方法
1764|44320|治疗方法|治疗方法
5341|44325|治疗方法|治疗方法
6162|44325|治疗方法|治疗方法
8015|44466|治疗方法|治疗方法
8639|44325|治疗方法|治疗方法
5478|44535|治疗方法|治疗方法
3841|44466|治疗方法|治疗方法
6241|44325|治疗方法|治疗方法
2587|44466|治疗方法|治疗方法
6396|44325|治疗方法|治疗方法
298|44159|治疗方法|治疗方法
5006|44159|治疗方法|治疗方法
5102|44325|治疗方法|治疗方法
2469|44466|治疗方法|治疗方法
716|44325|治疗方法|治疗方法
6043|44325|治疗方法|治疗方法
5922|44325|治疗方法|治疗方法
1184|44466|治疗方法|治疗方法
3475|44466|治疗方法|治疗方法
3058|44535|治疗方法|治疗方法
4293|44494|治疗方法|治疗方法
6346|44466|治疗方法|治疗方法
7042|44466|治疗方法|治疗方法
2642|44466|治疗方法|治疗方法
2093|44325|治疗方法|治疗方法
3433|44325|治疗方法|治疗方法
4474|44466|治疗方法|治疗方法
5552|44466|治疗方法|治疗方法
462|44535|治疗方法|治疗方法
3306|44257|治疗方法|治疗方法
5720|44159|治疗方法|治疗方法
7641|44325|治疗方法|治疗方法
8263|44159|治疗方法|治疗方法
6249|44257|治疗方法|治疗方法
498|44325|治疗方法|治疗方法
2334|44257|治疗方法|治疗方法
5558|44325|治疗方法|治疗方法
5053|44257|治疗方法|治疗方法
8680|44325|治疗方法|治疗方法
2338|44466|治疗方法|治疗方法
731|44466|治疗方法|治疗方法
7502|44466|治疗方法|治疗方法
7480|44466|治疗方法|治疗方法
