creationdate:LONG|:START_ID(Comment)|:END_ID(Place)
1337575192830|962072674308|109
1353276897062|1168231104518|53
1353005627288|1168231104519|72
1353283937412|1168231104521|53
1350211865504|1099511627786|109
1320392288145|687194767747|71
1296802902741|412316860804|60
1320398552986|687194767749|71
1331434327536|893353197958|49
1331467625946|893353197959|60
1349607127358|1099511628168|55
1322581090908|755914244489|50
1331996986253|893353197963|101
1320396060867|687194767756|71
1331980216573|893353197965|1
1331991199825|893353197966|1
1331990382648|893353197967|101
1320402864144|687194767760|71
1320399438266|687194767761|71
1322603337697|755914244499|49
1349542709350|1099511628180|55
1349549228526|1099511628181|44
1338898714428|962072674710|44
1349553080092|1099511628183|71
1338896471380|962072674712|44
1349559712698|1099511628185|55
1339204374446|962072674715|71
1339276345845|962072674716|60
1339193122819|962072674717|56
1339224234084|962072674718|4
1339204410666|962072674719|49
1351922658368|1099511628192|50
1339213042975|962072674721|55
1347745039959|1099511628195|1
1349556810477|1099511628196|55
1351857270988|1099511628197|50
1349596915669|1099511628198|49
1351885399206|1099511628199|50
1349566285270|1099511628200|71
1347801785056|1099511628201|50
1332618337619|893353197995|101
1338896516186|962072674732|44
1332647362028|893353197997|101
1320388330459|687194767790|71
1332619476631|893353197999|71
1338925659308|962072674736|49
1338935231182|962072674737|60
1332007335555|893353198003|1
1351859992266|1099511628212|50
1349528003301|1099511628213|55
1338894941422|962072674742|44
1332093181907|893353198007|60
1332000330891|893353198008|101
1315256770961|618475291065|60
1342844936934|1030792151483|101
1342879434738|1030792151484|71
1349528038279|1099511628221|55
1342868468162|1030792151486|1
1349553596568|1099511628223|55
1342905435333|1030792151489|1
1332683243260|893353198019|101
1349598474439|1099511628228|55
1332694184192|893353198021|50
1349546912341|1099511628230|55
1332695816514|893353198023|49
1332013913928|893353198025|101
1318937246308|687194767818|60
1331415838072|893353198027|49
1332711203113|893353198031|101
1332625942724|893353198032|101
1332699378593|893353198033|60
1349566104447|1099511628243|55
1318889712613|687194767829|60
1318891265898|687194767830|60
1318922003363|687194767831|60
