creationdate:LONG|:START_ID(Comment)|:END_ID(Post)
1337575192830|962072674308|3
1353276897062|1168231104518|962072674309
1353005627288|1168231104519|962072674309
1353283937412|1168231104521|1099511627784
1350211865504|1099511627786|1099511627784
1320392288145|687194767747|412316860802
1296802902741|412316860804|412316860802
1320398552986|687194767749|412316860802
1349607127358|1099511628168|412316860802
1331996986253|893353197963|618475291018
1320396060867|687194767756|618475291018
1331980216573|893353197965|618475291018
1320402864144|687194767760|618475291018
1320399438266|687194767761|618475291018
1322603337697|755914244499|412316860818
1349542709350|1099511628180|412316860818
1338898714428|962072674710|412316860818
1338896471380|962072674712|412316860818
1349559712698|1099511628185|412316860818
1339204374446|962072674715|962072674714
1339276345845|962072674716|962072674714
1339193122819|962072674717|962072674714
1339224234084|962072674718|962072674714
1347745039959|1099511628195|1099511628194
1349556810477|1099511628196|1099511628194
1351885399206|1099511628199|1099511628194
1332618337619|893353197995|481036337578
1338896516186|962072674732|481036337578
1332647362028|893353197997|481036337578
1320388330459|687194767790|481036337578
1332007335555|893353198003|618475291058
1351859992266|1099511628212|618475291058
1349528003301|1099511628213|618475291058
1338894941422|962072674742|618475291058
1332000330891|893353198008|618475291058
1315256770961|618475291065|618475291058
1342844936934|1030792151483|1030792151482
1342879434738|1030792151484|1030792151482
1349528038279|1099511628221|1030792151482
1342868468162|1030792151486|1030792151482
1349553596568|1099511628223|1030792151482
1332683243260|893353198019|687194767810
1349598474439|1099511628228|687194767810
1349546912341|1099511628230|687194767810
1332013913928|893353198025|687194767810
1318937246308|687194767818|687194767810
1331415838072|893353198027|687194767810
1332625942724|893353198032|687194767810
1349566104447|1099511628243|687194767826
1318889712613|687194767829|687194767826
1349537936979|1099511628250|687194767826
1351862785153|1099511628255|687194767826
1331415705683|893353198048|687194767826
1297792824835|412316860899|412316860898
1320401074420|687194767844|412316860898
1332019110456|893353198053|412316860898
1351852867619|1099511628263|412316860898
1349533790083|1099511628264|412316860898
1331456957734|893353198057|412316860898
1351856342876|1099511628268|412316860898
1297748719145|412316860915|412316860914
1351857198153|1099511628276|412316860914
1331421867114|893353198069|412316860914
1322594696071|755914244598|412316860914
1332039785922|893353198072|412316860914
1320389385252|687194767865|412316860914
1332063613360|893353198075|412316860914
1332676788781|893353198077|412316860914
1331431184517|893353198078|412316860914
1332070095459|893353198083|412316860930
1322596712753|755914244612|412316860930
1297810066875|412316860933|412316860930
1349540550845|1099511628294|412316860930
1351900983882|1099511628296|412316860930
1320391751208|687194767882|412316860930
1332685380502|893353198094|412316860930
1351852654300|1099511628303|412316860930
1332618775020|893353198099|687194767890
1351883022273|1099511628308|687194767890
1351853344476|1099511628309|687194767890
1332687107456|893353198102|687194767890
1322610042695|755914244631|687194767890
1351866771545|1099511628312|687194767890
1351921425326|1099511628313|687194767890
1331426246679|893353198107|687194767890
1331415641930|893353198115|546
1351868693462|1099511628324|546
1338896212648|962072674855|546
1338905946005|962072674858|546
1349527905466|1099511628335|546
1338926299012|962072674865|412316860976
1297847820531|412316860978|412316860976
1351857088305|1099511628339|412316860976
1297811554132|412316860980|412316860976
1338897749041|962072674869|412316860976
1297871992948|412316860982|412316860976
1351853750964|1099511628343|412316860976
1332617633037|893353198137|412316860976
1331424578203|893353198138|412316860976
1331990598181|893353198139|412316860976
1320407080209|687194767932|412316860976
1332038882400|893353198144|412316860991
1331420601567|893353198145|412316860991
1331980247144|893353198147|412316860991
1331990381217|893353198149|412316860991
1349561517447|1099511628359|412316860998
1322629488914|755914244680|412316860998
1331990567371|893353198153|412316860998
1351892297442|1099511628362|412316860998
1320388863980|687194767948|412316860998
1349534090233|1099511628366|412316860998
1349528743342|1099511628367|412316860998
1332033608686|893353198160|412316860998
1332669025864|893353198161|412316860998
1338925446991|962072674898|412316860998
1332007290127|893353198163|412316860998
1332001945761|893353198164|412316860998
1322605266800|755914244695|598
1320447874785|687194767960|598
1331991108758|893353198170|598
1338920263623|962072674907|598
1332618552654|893353198174|598
1325638015339|755914244711|755914244710
1325610502170|755914244712|755914244710
1325612444238|755914244716|755914244710
1325610579120|755914244721|755914244710
1349310297050|1099511628406|1030792151669
1346780690896|1030792151671|1030792151669
1346769432217|1030792151672|1030792151669
1351401424631|1099511628409|1030792151669
1352950948101|1168231105146|1030792151669
1346778665906|1030792151678|1030792151669
1327783292382|824633721488|824633721487
1336006350293|893353198228|824633721487
1340512358677|962072674973|618475291292
1342698222946|1030792151710|618475291292
1311797847484|618475291296|618475291292
1311868875830|618475291297|618475291292
1349742124149|1099511628450|618475291292
1353936552236|1168231105187|618475291292
1311830429312|618475291300|618475291292
1350562429023|1099511628454|618475291292
1340510809750|962072674986|618475291305
1312748218970|618475291307|618475291305
1351630572383|1099511628460|618475291305
1312817525248|618475291309|618475291305
1354068207039|1168231105198|618475291305
1344574698835|1030792151727|618475291305
1353825033514|1168231105203|618475291305
1351708471180|1099511628471|755914244790
1352888135526|1168231105208|755914244790
1339547169291|962072675001|755914244790
1343807344336|1030792151742|755914244790
1327778472510|824633721535|755914244790
1349149214390|1099511628480|755914244790
1294985263282|412316861124|206158430915
1327775991859|824633721541|206158430915
1326861265709|824633721543|206158430915
1351477250038|1099511628488|206158430915
1353886813850|1168231105225|206158430915
1321846765470|755914244810|206158430915
1320358732806|687194768075|206158430915
1315466501692|687194768077|206158430915
1306680493985|549755814609|481036337872
1299900520927|481036337874|481036337872
1336653397116|962072675027|481036337872
1343781973505|1030792151765|481036337872
1342688430146|1030792151767|481036337872
1352625238861|1168231105240|481036337872
1343789665281|1030792151774|68719477469
1351049085651|1099511628513|68719477469
1326288909483|824633721580|274877907690
1349969521010|1099511628525|274877907690
1353847926276|1168231105265|618475291376
1351034455546|1099511628530|618475291376
1323463994998|755914244851|618475291376
1326279003430|824633721588|618475291376
1351413798266|1099511628534|618475291376
1310442926592|618475291383|618475291376
1310424035925|618475291387|618475291376
1326870668753|824633721598|137438954237
1348243825635|1099511628543|137438954237
1309712133043|549755814657|137438954237
1352717106133|1168231105282|137438954237
1327775746281|824633721604|137438954237
1289137164734|343597384456|137438954237
1308042975001|549755814665|137438954237
1350955848365|1099511628555|481036337930
1347565786880|1099511628556|481036337930
1346864561370|1030792151821|481036337930
1327825813904|824633721614|481036337930
1312744677914|618475291429|206158431012
1340506736533|962072675110|206158431012
1295026035246|412316861223|206158431012
1336611653604|962072675112|206158431012
1335984052180|893353198381|206158431012
1335513256800|893353198384|206158431012
1339884137204|962072675122|962072675121
1348213297141|1099511628595|962072675121
1339882019925|962072675124|962072675121
1339869364356|962072675125|962072675121
1345930975937|1030792151871|830
1335992884044|893353198400|830
1330842924230|824633721665|830
1309753226194|549755814724|830
1343776180357|1030792151877|830
1311116128584|618475291462|830
1336324092108|893353198407|830
1349181936813|1099511628621|412316861259
1311113481721|618475291470|412316861259
1315499382439|687194768207|412316861259
1349999011254|1099511628629|412316861259
1297369936478|412316861270|412316861259
1339499807533|962072675159|412316861259
1330121740920|824633721689|549755814744
1350549649544|1099511628634|549755814744
1343793296312|1030792151899|549755814744
1353384002887|1168231105372|549755814744
1333413891789|893353198438|68719477605
1351466637556|1099511628647|68719477605
1348191676020|1099511628648|68719477605
1298924674808|412316861290|68719477605
1335975634961|893353198443|68719477605
1290137109522|343597384556|68719477605
1349693801908|1099511628654|68719477605
1351827494016|1099511628659|1099511628658
1351868640220|1099511628660|1099511628658
1352865275162|1168231105397|1099511628658
1351839545817|1099511628664|1099511628658
1351894377110|1099511628666|1099511628658
1349963840576|1099511628672|824633721727
1329395047538|824633721729|824633721727
1336034667242|893353198468|824633721727
1329367555245|824633721738|824633721727
1351164334932|1099511628685|1099511628684
1351100727681|1099511628686|1099511628684
1351152102040|1099511628687|1099511628684
1351136485169|1099511628688|1099511628684
1351099394532|1099511628690|1099511628684
1351110137938|1099511628693|1099511628684
1351136272141|1099511628694|1099511628684
1351146589480|1099511628695|1099511628684
1351133166959|1099511628696|1099511628684
