creationdate:LONG|:START_ID(Person)|:END_ID(Person)
1286426661456|14|910
1302555104599|14|8796093023077
1334595982911|14|10995116279024
1353274162709|14|17592186044566
1337399203674|14|21990232556617
1337569544694|14|26388279067210
1350197509013|14|28587302322542
1352956039339|14|35184372089798
1342296456890|16|859
1320496068357|16|910
1315810690950|16|2199023255851
1279157557640|16|2199023256361
1343803024265|16|2199023256425
1329897418308|16|4398046511458
1287957476355|16|6597069767381
1304965206989|16|8796093023077
1341958869431|16|8796093023537
1342083658915|16|10995116278132
1318146577030|16|13194139534936
1310176200702|16|15393162789111
1323728880760|16|15393162790214
1317361572922|16|17592186045364
1347955859477|16|17592186045670
1348229261560|16|19791209300150
1352159014998|16|21990232556493
1336993398200|16|26388279066641
1350319943178|16|35184372089362
1296784712448|27|42
1331415031514|27|910
1338894640336|27|6597069767381
1322568475643|27|10995116279197
1320388141285|27|13194139534507
1331980011795|27|17592186045813
1351852464664|27|19791209301104
1331990359417|27|21990232555855
1349527863568|27|21990232556064
1332617553010|27|26388279067332
1319068304730|33|910
1306679808354|42|555
1264182821518|42|808
1294961417304|42|981
1342535658870|42|1223
1277446835408|42|1443
1329922286951|42|1582
1354079149806|42|1682
1316654165471|42|2199023255898
1315466473326|42|2199023256055
1344544321177|42|2199023256573
1349962846569|42|4398046511247
1290076383088|42|4398046511357
1342686708711|42|4398046512195
1324786706743|42|4398046512351
1335972133698|42|4398046512585
1335353086083|42|6597069767216
1309704048659|42|6597069768067
1308021350274|42|6597069768249
1292707944529|42|8796093022402
1311815665045|42|8796093022932
1287982881788|42|8796093023537
1340494422104|42|8796093023616
1289137115315|42|8796093023864
1343851499202|42|8796093023891
1298908868983|42|8796093023896
1313873012237|42|10995116277761
1312743412688|42|10995116277892
1316729732444|42|10995116278083
1349678333565|42|10995116278091
1348681356091|42|10995116278230
1326273667183|42|10995116278274
1325271868437|42|10995116278710
1325378124076|42|10995116278767
1303084293126|42|10995116279335
1349245727808|42|10995116279452
1302838536321|42|13194139533966
