id:ID|name:STRING|label:STRING
8808|伤痛宁膏|药物
8809|杞菊地黄口服液|药物
8810|消炎利胆软胶囊|药物
8811|富马酸依美斯汀滴眼液|药物
8812|五子衍宗片|药物
8813|萆薢分清丸|药物
8814|调经促孕丸|药物
8815|头孢氨苄胶囊|药物
8816|维生素B2注射液|药物
8817|坤宁颗粒|药物
8818|小儿功劳止泻颗粒|药物
8819|前列通片|药物
8820|通便灵胶囊|药物
8821|硼酸氧化锌冰片软膏|药物
8822|注射用泮托拉唑钠|药物
8823|眼氨肽滴眼液|药物
8824|龙胆泻肝口服液|药物
8825|小儿肺热咳喘颗粒|药物
8826|醋酸甲羟孕酮分散片|药物
8827|二十六味通经散|药物
8828|痫愈胶囊|药物
8829|复方斯亚旦生发酊|药物
8830|产妇康洗液|药物
8831|复方尿囊素片|药物
8832|C14～24|药物
8833|当归腹痛宁滴丸|药物
8834|美雄酮片|药物
8835|盐酸赖氨酸葡萄糖注射液|药物
8836|诺氟沙星片|药物
8837|司帕沙星分散片|药物
8838|氧氟沙星栓|药物
8839|全鹿丸|药物
8840|消结安口服液|药物
8841|冰珍清目滴眼液|药物
8842|江西京通美联一清颗粒|药物
8843|磷霉素钙胶囊|药物
8844|天王补心丸|药物
8845|脑血康丸|药物
8846|氟尿嘧啶口服乳|药物
8847|鞣酸加压素注射液|药物
8848|辣椒碱乳膏|药物
8849|鱼肝油乳|药物
8850|利肺片|药物
8851|注射用盐酸罂粟碱|药物
8852|拨云复光散|药物
8853|三磷酸腺苷二钠片|药物
8854|清凉止痒搽剂|药物
8855|镇痫片|药物
8856|四物颗粒|药物
8857|苹果酸舒尼替尼胶囊|药物
8858|乌鸡桂圆养血口服液|药物
8859|复方甘草酸苷片|药物
8860|龙虎人丹|药物
8861|乳癖舒胶囊|药物
8862|化痔胶囊|药物
8863|清肺散结丸|药物
8864|二十九味能消散|药物
8865|复方角菜酸酯栓|药物
8866|痔疮片|药物
8867|炔诺酮片|药物
8868|补中益气合剂|药物
8869|西罗莫司片|药物
8870|乐孕宁颗粒|药物
8871|利胆石颗粒|药物
8872|通窍鼻炎片|药物
8873|五维他口服溶液|药物
8874|养阴清肺丸|药物
8875|左甲状腺素钠片|药物
8876|肺宁片|药物
8877|甘油氯化钠注射液|药物
8878|苏黄止咳胶囊|药物
8879|复方硫酸软骨素滴眼液|药物
8880|抗骨增生片|药物
8881|茵莲清肝合剂|药物
8882|氨基比林咖啡因片|药物
8883|斑蝥素乳膏|药物
8884|地塞米松片|药物
8885|利奈唑胺片|药物
8886|乳核内消液|药物
8887|高三尖杉酯碱注射液|药物
8888|稀甘油|药物
8889|头孢地尼分散片|药物
8890|排毒养颜片|药物
8891|藏青果颗粒|药物
8892|三维葡磷钙咀嚼片|药物
8893|牛黄解毒片|药物
8894|复方酮康唑发用洗剂|药物
8895|十五味赛尔斗丸|药物
8896|苯妥英钠片|药物
8897|消石利胆胶囊|药物
8898|葛根素葡萄糖注射液|药物
8899|注射用细胞色素C|药物
8900|复方奎宁注射液|药物
8901|维生素B2片|药物
8902|曲克芦丁口服溶液|药物
8903|复方曲安奈德乳膏|药物
8904|安络痛胶囊|药物
8905|红金消结片|药物
8906|保和颗粒|药物
8907|8-11|药物
8908|普济痔疮栓|药物
8909|注射用青霉素钠|药物
8910|美辛唑酮栓|药物
8911|盐酸坦洛新缓释胶囊|药物
8912|地喹氯铵含片|药物
8913|归芪口服液|药物
8914|至灵菌丝胶囊|药物
8915|注射用氨苄西林钠|药物
8916|羚珠散|药物
8917|复方锌铁钙口服溶液|药物
8918|宫炎平滴丸|药物
8919|硫软膏|药物
8920|注射用氢化可的松琥珀酸钠|药物
8921|吸入用伊洛前列素溶液|药物
8922|2∶1|药物
8923|头孢氨苄缓释片|药物
8924|氟胞嘧啶片|药物
8925|环孢素口服溶液|药物
8926|注射用丝裂霉素|药物
8927|阿咖酚散|药物
8928|甘草锌颗粒|药物
8929|十全大补酒|药物
8930|醋甲唑胺片|药物
8931|二乙酰氨乙酸乙二胺氯化钠注射液|药物
8932|注射用盐酸平阳霉素|药物
8933|宫血宁胶囊|药物
8934|肌苷注射液|药物
8935|利巴韦林片|药物
8936|甘露聚糖肽胶囊|药物
8937|强肝糖浆|药物
8938|盐酸左氧氟沙星软膏|药物
8939|血府逐瘀丸|药物
8940|盐酸维拉帕米片|药物
8941|保儿安颗粒|药物
8942|利巴韦林胶囊|药物
8943|碳酸钙颗粒|药物
8944|门冬胰岛素注射液|药物
8945|脾胃舒丸|药物
8946|金嗓散结片|药物
8947|毛冬青胶囊|药物
8948|富马酸酮替芬片|药物
8949|云芝肝泰颗粒|药物
8950|雪山金罗汉止痛涂膜剂|药物
8951|水杨酸苯酚贴膏|药物
8952|复方白芷酊|药物
8953|盐酸氮芥酊|药物
8954|阿娜尔妇洁液|药物
8955|八味沉香丸|药物
8956|益肝活血明目丸|药物
8957|钆双胺注射液|药物
8958|复方樟柳碱注射液|药物
8959|藻酸双酯钠片|药物
8960|吡喹酮片|药物
8961|复方甘草酸苷胶囊|药物
8962|抗病毒软胶囊|药物
8963|调经止痛胶囊|药物
8964|前列舒乐片|药物
8965|缩泉胶囊|药物
8966|天然胡萝卜素胶丸|药物
8967|氢溴酸加兰他敏片|药物
8968|氧氟沙星眼膏|药物
8969|肾炎安胶囊|药物
8970|雪梨膏|药物
8971|脑乐静|药物
8972|断血流胶囊|药物
8973|硝酸奥昔康唑乳膏|药物
8974|硫酸庆大霉素颗粒|药物
8975|四环素片|药物
8976|猫爪草胶囊|药物
8977|十八味诃子利尿胶囊|药物
8978|调经祛斑片|药物
8979|阿昔洛韦乳膏|药物
8980|地拉罗司分散片|药物
8981|乳块消糖浆|药物
8982|氯解磷定注射液|药物
8983|美辛唑酮红古豆醇酯栓|药物
8984|乳酸依沙吖啶溶液|药物
8985|藿香正气片|药物
8986|复方醋酸棉酚片|药物
8987|通脉片|药物
8988|七叶神安片|药物
8989|氟轻松维B6乳膏|药物
8990|止咳枇杷糖浆|药物
8991|盐酸卡替洛尔滴眼液|药物
8992|小儿五维赖氨酸糖浆|药物
8993|琥乙红霉素片|药物
8994|健脾生血片|药物
8995|达那唑胶囊|药物
8996|乳核散结片|药物
8997|海昆肾喜胶囊|药物
8998|硬脂酸红霉素颗粒|药物
8999|五粒回春丸|药物
9000|妇科调经颗粒|药物
9001|补金片|药物
9002|地塞米松磷酸钠注射液|药物
9003|龙血竭胶囊|药物
9004|吡拉西坦葡萄糖注射液|药物
9005|伊曲康唑注射液|药物
9006|血复生片|药物
9007|盐酸美他环素片|药物
9008|三金片|药物
9009|妇科调经片|药物
9010|盐酸拓扑替康胶囊|药物
9011|普卢利沙星胶囊|药物
9012|济泰片|药物
9013|拉米夫定胶囊|药物
9014|小儿健脾丸|药物
9015|止血镇痛胶囊|药物
9016|复方丹参含片|药物
9017|羧甲淀粉钠溶液|药物
9018|对乙酰氨基酚栓|药物
9019|枸橼酸喷托维林片|药物
9020|人免疫球蛋白|药物
9021|伏立康唑片|药物
9022|青霉素V钾胶囊|药物
9023|利肝隆颗粒|药物
9024|泛酸钙片|药物
9025|复方醋酸地塞米松乳膏|药物
9026|胱氨酸片|药物
9027|心肝宝胶囊|药物
9028|结核丸|药物
9029|盐酸依匹斯汀片|药物
9030|鞣柳硼三酸散|药物
9031|他达拉非片|药物
9032|盐酸氟西汀分散片|药物
9033|氨甲苯酸片|药物
9034|婴儿健脾颗粒|药物
9035|盐酸氮卓斯汀鼻喷剂|药物
9036|体外培育牛黄|药物
9037|盐酸甲氯芬酯胶囊|药物
9038|氨咖甘片|药物
9039|萘敏维滴眼液|药物
9040|参南星口服液|药物
9041|哈西奈德溶液|药物
9042|奥美拉唑肠溶胶囊|药物
9043|肿痛安胶囊|药物
9044|刺五加片|药物
9045|甘草流浸膏|药物
9046|赖氨酸磷酸氢钙片|药物
9047|厄贝沙坦片|药物
9048|维B1乳酸钙片|药物
