creationdate:LONG|:START_ID(Comment)|:END_ID(Comment)
1331434327536|893353197958|412316860804
1331467625946|893353197959|893353197958
1322581090908|755914244489|412316860804
1331991199825|893353197966|893353197965
1331990382648|893353197967|893353197965
1349549228526|1099511628181|1099511628180
1349553080092|1099511628183|1099511628180
1339204410666|962072674719|962072674715
1351922658368|1099511628192|962072674715
1339213042975|962072674721|962072674715
1351857270988|1099511628197|1099511628195
1349596915669|1099511628198|1099511628196
1349566285270|1099511628200|1099511628196
1347801785056|1099511628201|1099511628195
1332619476631|893353197999|893353197995
1338925659308|962072674736|962072674732
1338935231182|962072674737|962072674736
1332093181907|893353198007|893353198003
1342905435333|1030792151489|1030792151483
1332694184192|893353198021|893353198019
1332695816514|893353198023|893353198021
1332711203113|893353198031|893353198021
1332699378593|893353198033|893353198021
1318891265898|687194767830|687194767829
1318922003363|687194767831|687194767829
1320393564568|687194767832|687194767829
1320406372175|687194767836|687194767832
1320394807144|687194767837|687194767832
1320467529542|687194767841|687194767832
1338894697089|962072674790|893353198053
1349542946995|1099511628266|893353198053
1332019154956|893353198059|893353198053
1332078707598|893353198061|893353198053
1332079263368|893353198062|893353198061
1332066271575|893353198063|893353198053
1351871358651|1099511628272|893353198053
1332131174422|893353198065|893353198061
1351919918463|1099511628279|1099511628276
1351906555092|1099511628282|1099511628276
1351930991201|1099511628284|1099511628282
1351865716758|1099511628287|1099511628276
1351862746769|1099511628288|1099511628276
1332064900724|893353198081|893353198078
1351895755716|1099511628295|755914244612
1322607851173|755914244617|755914244612
1322613600807|755914244619|755914244612
1322618989799|755914244620|755914244612
1331993948574|893353198093|755914244612
1331416359318|893353198096|755914244612
1351862326292|1099511628305|1099511628303
1351934272103|1099511628314|1099511628313
1351949930139|1099511628316|1099511628314
1351921435336|1099511628317|1099511628313
1351933247092|1099511628319|1099511628317
1351989920353|1099511628321|1099511628313
1351872127949|1099511628325|1099511628324
1351870672022|1099511628326|1099511628324
1351904464086|1099511628328|1099511628324
1351938895917|1099511628329|1099511628324
1351878790292|1099511628331|1099511628324
1351889490132|1099511628332|1099511628324
1351905906293|1099511628334|1099511628324
1322597679018|755914244669|687194767932
1338967601235|962072674901|962072674898
1332628992922|893353198169|755914244695
1338964400755|962072674908|962072674907
1338895676047|962072674909|755914244695
1332629102275|893353198175|893353198169
1332634199838|893353198176|893353198174
1332623025547|893353198177|893353198174
1349549325046|1099511628386|893353198174
1338907189676|962072674917|962072674909
1325611559977|755914244713|755914244712
1325667247262|755914244714|755914244713
1325625492105|755914244715|755914244713
1325636086333|755914244717|755914244713
1325610835094|755914244718|755914244712
1325677787868|755914244719|755914244712
1325636862100|755914244720|755914244713
1325636877776|755914244722|755914244720
1325614189003|755914244723|755914244716
1325659603110|755914244724|755914244720
1351410524199|1099511628411|1099511628409
1351664012162|1099511628412|1099511628409
1351665632958|1099511628413|1099511628412
1346782411031|1030792151680|1030792151671
1346861654071|1030792151681|1030792151680
1336092086598|893353198233|893353198228
1352688694054|1168231105178|893353198228
1336027588378|893353198235|893353198228
1349758791030|1099511628455|1099511628450
1312842154149|618475291312|618475291309
1351020296382|1099511628465|618475291312
1352876636287|1168231105202|618475291309
1353825080754|1168231105204|1168231105203
1343844470415|1030792151733|618475291312
1339547499394|962072675002|962072675001
1352927336829|1168231105211|1168231105208
1354136562223|1168231105212|1168231105208
1339548101525|962072675005|962072675001
1343875582570|1030792151746|824633721535
1321863832612|755914244812|687194768075
1320391563241|687194768079|687194768075
1351052587644|1099511628500|481036337874
1299900654060|481036337878|481036337874
1351052942911|1099511628506|1099511628500
1351114478037|1099511628507|1099511628500
1351074830966|1099511628508|1099511628500
1351122305274|1099511628515|1099511628513
1351073060217|1099511628517|1099511628513
1351156658304|1099511628519|1099511628515
1351110110715|1099511628520|1099511628513
1349985141629|1099511628526|1099511628525
1326279615157|824633721589|824633721588
1351422544588|1099511628536|1099511628534
1352951487948|1168231105273|1099511628534
1351413808908|1099511628540|1099511628534
1339488625458|962072675072|824633721598
1326881497858|824633721603|824633721598
1350993700498|1099511628550|824633721598
1326909403385|824633721607|824633721598
1352624514989|1168231105295|824633721614
1327826164250|824633721618|824633721614
1354079170514|1168231105300|824633721614
1342765996111|1030792151849|412316861223
1344611720762|1030792151850|412316861223
1306680750791|549755814699|412316861223
1302865285076|481036337964|412316861223
1342725102340|1030792151854|412316861223
1349325310917|1099511628591|412316861223
1339870507874|962072675127|962072675125
1351632079865|1099511628603|962072675125
1351705719532|1099511628605|1099511628603
1342741018242|1030792151874|824633721665
1351657824958|1099511628616|618475291462
1329927158192|824633721673|618475291462
1330849223532|824633721674|824633721665
1353888147669|1168231105360|687194768207
1315511747273|687194768209|687194768207
1329934870274|824633721682|687194768207
1326887258390|824633721683|687194768207
1346869414142|1030792151892|687194768207
1353384080545|1168231105373|1168231105372
1353384751853|1168231105374|1168231105372
1353459953671|1168231105376|1168231105374
1353447086982|1168231105377|1168231105372
1353877873101|1168231105379|1099511628634
1351467111623|1099511628649|1099511628647
1352711957514|1168231105389|1099511628647
1352768812823|1168231105391|1168231105389
1349693849417|1099511628656|1099511628654
1335977013646|893353198449|893353198443
1351889005443|1099511628665|1099511628659
1351853331775|1099511628667|1099511628659
1352712026430|1168231105404|1099511628659
1351877385549|1099511628669|1099511628659
1351894387114|1099511628670|1099511628666
1353906864939|1168231105410|824633721729
1329409825887|824633721731|824633721729
1333430400533|893353198469|824633721729
1333440554984|893353198470|893353198469
1333446251379|893353198471|893353198469
1333513590394|893353198472|893353198469
1354011385833|1168231105417|824633721731
1333446317157|893353198475|893353198471
1351196553968|1099511628689|1099511628688
1351271886740|1099511628691|1099511628689
1351137347802|1099511628692|1099511628688
1344546188409|1030792151964|755914245019
1344547157770|1030792151967|1030792151964
1349704296837|1099511628704|1030792151964
1344557033041|1030792151970|1030792151967
1354086250481|1168231105443|755914245019
1344563597664|1030792151972|1030792151970
1344547167770|1030792151973|1030792151967
1330135036017|824633721770|343597384616
1353895532607|1168231105451|343597384616
1326802407963|824633721773|343597384616
1353886644170|1168231105454|343597384616
1353906259468|1168231105456|1168231105454
1346459193244|1030792151992|1030792151991
1354002789511|1168231105466|1030792151991
1354120971937|1168231105468|1168231105462
1346435854451|1030792151997|1030792151991
1346438710464|1030792151998|1030792151997
1352819553481|1168231105479|1168231105475
1342741137864|1030792152008|1030792152004
1352778529065|1168231105481|1168231105475
1348918719085|1099511628747|687194768330
1315789501480|687194768332|687194768330
1330843198425|824633721812|687194768339
1353362889910|1168231105505|1168231105503
1352665148489|1168231105508|1168231105503
1349271405109|1099511628780|1099511628778
1349247575708|1099511628781|1099511628778
1349312899542|1099511628782|1099511628781
1349388719265|1099511628785|1099511628782
1313324363912|618475291634|618475291631
1349385957217|1099511628787|1099511628782
1350046193914|1099511628794|893353198582
1354088231094|1168231105531|1099511628794
1350047800211|1099511628796|1099511628794
1335353364358|893353198589|893353198582
1333211434130|893353198590|893353198582
1348935107714|1099511628799|893353198589
1350064896946|1099511628800|1099511628794
1342959907207|1030792152069|1030792152067
1353845582681|1168231105543|1030792152067
1316654308967|687194768393|481036338182
1316682966527|687194768394|481036338182
1316738904730|687194768396|687194768393
1349692838884|1099511628813|755914245128
1340496439085|962072675349|893353198610
1349135163789|1099511628836|1030792152098
1343861010027|1030792152101|1030792152098
1343861800105|1030792152103|1030792152098
1351688557325|1099511628856|1099511628855
1351744104883|1099511628857|1099511628855
1351750652953|1099511628858|1099511628855
1351762839752|1099511628860|1099511628855
1351697100697|1099511628861|1099511628855
1351783589361|1099511628862|1099511628860
1351832941547|1099511628863|1099511628862
1351848290756|1099511628864|1099511628860
1351693683872|1099511628865|1099511628855
1335586785321|893353198660|755914245187
1345221646685|1030792152136|893353198660
1347615985139|1099511628874|1030792152136
1345265470427|1030792152140|1030792152136
1333405371234|893353198669|755914245187
1345284317089|1030792152142|1030792152136
1351394592742|1099511628885|1099511628883
1351430252240|1099511628886|1099511628883
1351394661214|1099511628887|1099511628885
1351404712169|1099511628888|1099511628883
1351456277597|1099511628890|1099511628883
1354042786029|1168231105702|1168231105701
1354047562161|1168231105706|893353198761
1349704613331|1099511629003|1099511629002
1342757884733|1030792152714|1030792152713
1342741136840|1030792152716|1030792152713
1342774957664|1030792152717|1030792152714
1342761262309|1030792152718|1030792152714
1345145583308|1030792152719|1030792152713
1342759885647|1030792152721|1030792152714
1352092348781|1099511629458|1030792152714
1342798123075|1030792152724|1030792152721
1342741249444|1030792152726|1030792152713
1345145977034|1030792152729|1030792152728
1345210346424|1030792152735|1030792152728
1352130014983|1099511629474|1030792152728
1345201603725|1030792152739|1030792152728
1345146329399|1030792152741|962072676000
1345151491576|1030792152742|962072676000
1352119398046|1099511629486|1099511629482
1352120451927|1099511629487|1099511629482
1345180936450|1030792152752|1030792152749
1345180946526|1030792152753|1030792152752
1352157989851|1099511629490|1099511629487
1352152449102|1099511629491|1099511629487
1352119848813|1099511629492|1030792152749
1352175666114|1099511629493|1099511629492
1352183476297|1099511629494|1099511629487
1345180964846|1030792152759|1030792152752
1352160905023|1099511629496|1099511629487
1342697012403|1030792152764|962072676027
1352119558349|1099511629501|962072676027
1341077460220|962072676031|962072676027
1341133530881|962072676033|962072676031
1352167137104|1099511629506|1099511629501
1352124309834|1099511629507|1099511629501
1352173747756|1099511629508|1099511629507
1341134657886|962072676037|962072676033
1267995789190|68719478471|68719478470
1345147212336|1030792152776|68719478470
1307547977538|549755815625|68719478471
1345186176306|1030792152778|68719478470
1342698840418|1030792152779|962072676031
1342696832137|1030792152784|1030792152782
1342715808336|1030792152789|1030792152782
1342695412283|1030792152790|549755815636
1307509523434|549755815639|549755815636
1352118618965|1099511629528|549755815635
1307543712093|549755815641|549755815636
1307557825308|549755815642|549755815635
1352089229858|1099511629531|1030792152782
1342700524768|1030792152796|1030792152790
1342695377223|1030792152797|549755815636
1342720724731|1030792152804|1030792152801
1345154232390|1030792152805|1030792152802
1345147047285|1030792152806|1030792152802
1345147182589|1030792152808|1030792152802
1345147223404|1030792152812|1030792152808
1342709006128|1030792152813|1030792152801
1342699453540|1030792152814|1030792152801
1345147837755|1030792152815|1030792152808
1333702903571|893353199679|893353199678
1348779963186|1099511629959|1030792153221
1344928950810|1030792153233|1030792153230
1344896520669|1030792153234|1030792153230
1347495008227|1099511629974|1099511629973
1347470018012|1099511629975|1099511629973
1332594917707|893353199772|687194769563
1319913335718|687194769568|481036339358
1319995307878|687194769569|687194769568
1340827860078|962072676515|481036339362
1353558184393|1168231107441|1030792153967
1333041266751|893353200504|755914247030
1351037828744|1099511630713|893353200504
1345857059818|1030792153978|755914247030
1333050649736|893353200507|893353200504
1353515041213|1168231107483|1168231107482
