creationdate:LONG|:START_ID(Forum)|:END_ID(Person)
1310817866294|618475290625|14
1269114852092|68719476738|14
1271403200409|68719476739|14
1322741275348|755914244100|14
1343639055183|1030792151045|14
1334494621073|893353197574|14
1309088861869|549755813895|14
1345977136795|1030792151048|14
1298533306748|412316860425|14
1275096112252|137438953482|14
1271784499005|68719476747|14
1275552569330|137438953484|14
1300081477760|481036337165|14
1294595009583|412316860430|14
1315248231396|618475290639|14
1277806117846|137438953488|14
1325015163617|755914244113|14
1293201442164|343597383698|14
1324851297085|755914244115|14
1344800451377|1030792151060|14
1288695255190|274877906965|14
1326485965535|824633720854|14
1331296150066|893353197591|14
1340956029878|962072674328|14
1293150221395|343597383705|14
1312540316795|618475290650|14
1320701839247|755914244123|14
1316260044857|687194767388|14
1314547361892|618475290653|14
1293176028841|343597383710|14
1291050509739|343597383711|14
1312968917179|618475290656|14
1320059998786|687194767393|14
1346726514263|1030792151074|14
1294580186996|412316860451|14
1263050358156|36|14
1264943593929|37|16
1263909080863|38|27
1263942197674|39|33
1263972737566|40|42
1339665157171|962072674345|42
1301569879774|481036337194|42
1344473542944|1030792151083|42
1295789443646|412316860460|42
1325592554454|755914244142|42
1309704781439|549755813935|42
1349206287793|1099511627824|42
1318515922210|687194767409|42
1349612476774|1099511627826|42
1321938238107|755914244147|42
1263987303894|52|42
1274800405946|137438953525|42
1330046070504|824633720886|42
1320275790506|687194767415|42
1312076077651|618475290680|42
1275840397303|137438953529|42
1272633740601|68719476794|42
1327931491348|824633720891|42
1282923044460|206158430268|42
1343541654724|1030792151101|42
1283598094029|274877907006|42
1317077913307|687194767423|42
1334565787533|893353197632|42
1299191386685|412316860481|42
1303567296296|481036337218|42
1330595002101|824633720899|42
1289420964866|343597383748|42
1278329484919|206158430277|42
1350849639273|1099511627846|42
1326426361907|824633720903|42
1302674696650|481036337224|42
1325420053225|755914244169|42
1346399318536|1030792151114|42
1274201790131|137438953547|42
1266659397443|76|46
1309421523567|549755813965|46
1339493926635|962072674382|46
1321760503638|755914244175|46
1287660157788|274877907024|46
1348372925991|1099511627858|46
1321877719250|755914244179|46
1335571928891|893353197652|46
1281164395124|206158430293|46
1287695861895|274877907030|46
1314576215278|618475290711|46
1277702630717|137438953560|46
1305086049107|549755813977|46
1326134028083|824633720922|46
1325487971655|755914244187|46
1350920821564|1099511627868|46
1273952939901|137438953565|46
1291801790796|343597383775|46
1284796382964|274877907041|46
1275659234126|137438953570|46
1317370731529|687194767459|46
1268058819550|68719476836|46
1313697119679|618475290725|46
1311874188322|618475290726|46
1302166855283|481036337255|46
1289815668234|343597383784|46
1304060995866|481036337257|46
1286229527693|274877907050|46
1339830666994|962072674411|46
1352079091463|1099511627884|46
1351117264957|1099511627885|46
1275421571542|137438953582|46
1262693567385|111|66
1350239388443|1099511627888|66
1306294258418|549755814001|66
1343159238340|1030792151154|66
1273104537118|137438953587|66
1319731104293|687194767476|66
1293792431543|343597383797|66
1279398494485|206158430326|66
1314304359497|618475290743|66
1283142591772|206158430329|66
1291189765550|343597383802|66
1320835260987|755914244219|66
1265775786825|124|66
1304233982704|481036337277|66
1344132712158|1030792151166|66
1279298469212|206158430335|66
1343119431338|1030792151168|66
1315758886153|687194767489|66
1353472407209|1168231104642|66
1306584287595|549755814019|66
1316744213888|687194767492|66
1309322296996|549755814021|66
1279989598122|206158430342|66
1295364734725|412316860551|66
1277793770392|137438953608|66
1311887559446|618475290761|66
1323330350734|755914244234|66
1274451267194|137438953611|66
1342563749789|1030792151180|66
1303103358611|481036337293|66
1322764564783|755914244238|66
1335244386029|893353197711|66
1317318347347|687194767504|66
1342275061975|1030792151185|66
1330018061269|824633720978|66
1286652213194|274877907091|66
1265754551024|148|71
1279574800513|206158430357|71
1269663301442|68719476886|71
1328492928109|824633720983|71
1293121403843|343597383832|71
1329452852153|824633720986|71
1282240819196|206158430363|71
1267361711427|156|71
1316311967372|687194767517|71
1310933903212|618475290782|71
1337004120762|962072674463|71
1340414070825|962072674464|71
1348334594687|1099511627937|71
1274861725000|137438953634|71
1337606305818|962072674467|71
1310512279664|618475290788|71
1351858430557|1099511627941|71
1329528741957|824633720998|71
1341261626927|962072674471|71
1313775844934|618475290792|71
1286007800267|274877907114|71
1295741423123|412316860587|71
1322091373866|755914244268|71
1268372745830|68719476909|71
1301840484103|481036337326|71
1352433015481|1168231104687|71
1333672022205|893353197744|71
1315274077845|618475290801|71
1319897426652|687194767539|71
1304931395156|549755814068|71
1313232768637|618475290805|71
1349603299608|1099511627958|71
1315359505956|687194767543|71
1263780123909|184|100
1266571023438|185|107
1270751893996|68719476922|107
1351947581337|1099511627963|107
1297586054319|412316860604|107
1316673925327|687194767549|107
1282138947749|206158430398|107
1342905035129|1030792151231|107
1311679610668|618475290816|107
1307131039021|549755814081|107
1290723760487|343597383874|107
1327710151939|824633721028|107
1333714193654|893353197765|107
1321162668376|755914244294|107
1304277220731|481036337351|107
1307275881923|549755814088|107
1331024217051|824633721033|107
1333080710048|893353197770|107
1323104985753|755914244300|107
1349985068670|1099511627981|107
1320097160164|687194767566|107
1302965002793|481036337359|107
1301939702837|481036337360|107
1298345602734|412316860625|107
1337260901070|962072674514|107
1291260299268|343597383891|107
1285934736241|274877907156|107
1280221576895|206158430421|107
1289025299030|343597383894|107
1307757556486|549755814103|107
1295490031933|412316860632|107
1307335091097|549755814105|107
1326115099367|824633721050|107
1313576581337|618475290843|107
1266583344255|220|166
1262306776678|221|181
1262863211390|222|248
1264861413459|223|325
1264432231430|224|347
1263129876708|225|375
1263763834103|226|394
1264596346698|227|412
1266740272178|229|435
1276462360999|137438953702|435
1300074984217|481036337383|435
1353463752289|1168231104744|435
1319212394241|687194767593|435
1328025196989|824633721067|435
1314738792905|618475290860|435
1279697412657|206158430445|435
1349774479986|1099511628014|435
1316745859065|687194767599|435
1269298488049|68719476976|435
1282617683658|206158430449|435
1308319548112|549755814130|435
1282482334394|206158430451|435
1344555807769|1030792151284|435
1329947268902|824633721077|435
1316770259231|687194767606|435
1345252701759|1030792151287|435
1294583177359|412316860664|435
1273450906639|137438953721|435
1316666380332|687194767610|435
1348137230474|1099511628027|435
1304851088504|549755814140|435
1310480576012|618475290877|435
1289141358751|343597383934|435
1288948578959|343597383935|435
1325785542857|755914244352|435
1331436262853|893353197825|435
1325855337230|755914244354|435
