creationdate:LONG|:START_ID(Post)|:END_ID(Tag)
1311825263934|618475290624|139
1311825263934|618475290624|781
1311825263934|618475290624|7517
1311825263934|618475290624|10712
1262550036280|3|139
1262550036280|3|2797
1262550036280|3|2999
1262550036280|3|3020
1262550036280|3|3041
1336706765763|962072674309|139
1336706765763|962072674309|783
1336706765763|962072674309|7148
1349147814784|1099511627784|139
1349147814784|1099511627784|804
1349147814784|1099511627784|2045
1349147814784|1099511627784|6887
1308115985095|549755813899|543
1308115985095|549755813899|2423
1308115985095|549755813899|5192
1308115985095|549755813899|7380
1308115985095|549755813899|9149
1282912967238|206158430220|244
1282912967238|206158430220|2054
1282912967238|206158430220|8600
1282912967238|206158430220|9287
1319289669382|687194767373|975
1319289669382|687194767373|1944
1319289669382|687194767373|2007
1319289669382|687194767373|9050
1319289669382|687194767373|9223
1319289669382|687194767373|12408
1308173315095|549755813904|2097
1308173315095|549755813904|2423
1308173315095|549755813904|3015
1308173315095|549755813904|6528
1308173315095|549755813904|8098
1308173315095|549755813904|9273
1308173315095|549755813904|10491
1319277519382|687194767377|1195
1319277519382|687194767377|1944
1319277519382|687194767377|2109
1319277519382|687194767377|2836
1319277519382|687194767377|5154
1308116615095|549755813906|2110
1308116615095|549755813906|2423
1308116615095|549755813906|3077
1308116615095|549755813906|4940
1308139430095|549755813907|810
1308139430095|549755813907|2423
1308139430095|549755813907|5163
1308139430095|549755813907|7414
1308139430095|549755813907|11043
1308139430095|549755813907|12086
1295097262541|412316860802|291
1295097262541|412316860802|470
1295097262541|412316860802|6383
1311910167713|618475291018|291
1294166098015|412316860818|291
1294166098015|412316860818|2942
1294166098015|412316860818|3005
1294166098015|412316860818|3046
1339192828781|962072674714|291
1339192828781|962072674714|2979
1347730885977|1099511628194|291
1347730885977|1099511628194|1749
1303716085732|481036337578|291
1303716085732|481036337578|1986
1303716085732|481036337578|2785
1303716085732|481036337578|2789
1303716085732|481036337578|6383
1315230977224|618475291058|291
1315230977224|618475291058|6383
1342808273401|1030792151482|291
1318935256595|687194767810|193
1318935256595|687194767810|1375
1318935256595|687194767810|5126
1318935256595|687194767810|6406
1318935256595|687194767810|7578
1318935256595|687194767810|9146
1318935256595|687194767810|14063
1318889311595|687194767826|193
1318889311595|687194767826|2973
1318889311595|687194767826|3019
1318889311595|687194767826|6322
1318889311595|687194767826|6397
1318889311595|687194767826|6931
1318889311595|687194767826|9055
1318889311595|687194767826|9243
1318889311595|687194767826|10176
1297785851273|412316860898|2027
1297785851273|412316860898|2206
1297785851273|412316860898|6298
1297785851273|412316860898|7717
1297785851273|412316860898|8535
1297785851273|412316860898|8802
1297785851273|412316860898|9930
1297785851273|412316860898|14429
1297747961273|412316860914|2206
1297747961273|412316860914|5062
1297807001273|412316860930|2206
1297807001273|412316860930|5806
1297807001273|412316860930|6394
1318886476595|687194767890|193
1318886476595|687194767890|575
1318886476595|687194767890|1206
1318886476595|687194767890|4960
1318886476595|687194767890|5107
1265209722445|546|1499
1265209722445|546|7299
1265209722445|546|9143
1297811276273|412316860976|2206
1297811276273|412316860976|9148
1297811276273|412316860976|11465
1297811276273|412316860976|14785
1297825856273|412316860991|1987
1297825856273|412316860991|2206
1297825856273|412316860991|2851
1297825856273|412316860991|5141
1297825856273|412316860991|6972
1297825856273|412316860991|8112
1297825856273|412316860991|11690
1297738916273|412316860998|2206
1297738916273|412316860998|6962
1297738916273|412316860998|9256
1297738916273|412316860998|12002
1265173722445|598|1499
1265173722445|598|9291
1265173722445|598|14470
1325607202489|755914244710|282
1325607202489|755914244710|3089
1325607202489|755914244710|4955
1325607202489|755914244710|6981
1325607202489|755914244710|7516
1325607202489|755914244710|10037
1346767061492|1030792151669|458
1326965958405|824633721487|458
1311796369545|618475291292|458
1311796369545|618475291292|2969
1312734882511|618475291305|458
1324471261365|755914244790|458
1279593254208|206158430915|458
1299877651246|481036337872|458
1299877651246|481036337872|1668
1299877651246|481036337872|8882
1270403799686|68719477469|458
1270403799686|68719477469|1668
1270403799686|68719477469|2929
1270403799686|68719477469|5115
1285400579643|274877907690|458
1285400579643|274877907690|806
1285400579643|274877907690|1985
1285400579643|274877907690|2794
1310420866673|618475291376|458
1310420866673|618475291376|2953
1310420866673|618475291376|5115
1275981189659|137438954237|458
1275981189659|137438954237|5115
1299826407913|481036337930|458
1299826407913|481036337930|3073
1299826407913|481036337930|5170
1299826407913|481036337930|6976
1279038508368|206158431012|458
1279038508368|206158431012|2898
1279038508368|206158431012|10289
1339869350555|962072675121|458
1339869350555|962072675121|1993
1339869350555|962072675121|2011
1339869350555|962072675121|6976
1264423030395|830|458
1297353561430|412316861259|458
1297353561430|412316861259|6976
1306406025006|549755814744|458
1268244100199|68719477605|458
1268244100199|68719477605|1993
1351816348921|1099511628658|458
1329366939640|824633721727|458
1351099327698|1099511628684|458
1273822788714|137438954393|458
1273822788714|137438954393|3073
1273822788714|137438954393|8882
1289648862802|343597384614|458
1289648862802|343597384614|5115
1289648862802|343597384614|5183
1346401319101|1030792151987|458
1346401319101|1030792151987|2969
1315773901298|687194768320|458
1315773901298|687194768320|2066
1272018457853|68719477709|458
1272018457853|68719477709|2929
1319555774580|687194768346|458
1319555774580|687194768346|1993
1319555774580|687194768346|2898
1319555774580|687194768346|3073
1313323092531|618475291623|458
1295150216162|412316861428|458
1295150216162|412316861428|5170
1284870149396|274877907969|458
1293533509777|343597384718|458
1293533509777|343597384718|2788
1326090932622|824633721883|458
1326090932622|824633721883|1668
1350783325850|1099511628840|458
1350783325850|1099511628840|2066
1350783325850|1099511628840|2785
1350783325850|1099511628840|5115
1335625908247|893353198645|458
1284747775556|274877908034|458
1302454457069|481036338255|458
1302454457069|481036338255|806
1302454457069|481036338255|2785
1302454457069|481036338255|2898
1302454457069|481036338255|2929
1302454457069|481036338255|2953
1302454457069|481036338255|2969
1302454457069|481036338255|5183
1306286487118|549755815004|458
1306286487118|549755815004|1670
1288533057153|274877908073|2811
1288533057153|274877908073|4845
1288533057153|274877908073|6031
1288533057153|274877908073|10501
1288533057153|274877908073|12031
1288533057153|274877908073|13201
1288533057153|274877908073|14032
1319279904382|687194768492|1944
1319279904382|687194768492|7606
1319279904382|687194768492|9154
1272191670687|68719477871|1689
1272191670687|68719477871|2880
1272191670687|68719477871|6210
1272191670687|68719477871|7625
1272191670687|68719477871|9072
1293751459824|343597384818|1933
1293751459824|343597384818|2117
1293751459824|343597384818|5497
1293751459824|343597384818|7643
1293751459824|343597384818|11630
1319342229382|687194768501|293
1319342229382|687194768501|1944
1319342229382|687194768501|2986
1319342229382|687194768501|10193
1272145635687|68719477880|1183
1272145635687|68719477880|1689
1272145635687|68719477880|10838
1272145635687|68719477880|13570
1293720859824|343597384827|1933
1293720859824|343597384827|2835
1293720859824|343597384827|5140
1293720859824|343597384827|5165
1293720859824|343597384827|10163
1332332837799|893353198718|244
1332332837799|893353198718|6410
1332332837799|893353198718|9284
1332332837799|893353198718|11698
1332332837799|893353198718|12035
