creationdate:LONG|:START_ID(Post)|:END_ID(Place)
1311825263934|618475290624|58
1262550036280|3|80
1336706765763|962072674309|80
1349147814784|1099511627784|80
1308115985095|549755813899|80
1282912967238|206158430220|80
1319289669382|687194767373|80
1308173315095|549755813904|80
1319277519382|687194767377|80
1308116615095|549755813906|6
1308139430095|549755813907|110
1269114863092|68719476756|80
1269114864092|68719476757|80
1269114866092|68719476759|80
1269114867092|68719476760|80
1269114868092|68719476761|80
1269114869092|68719476762|80
1269114870092|68719476763|80
1269114871092|68719476764|80
1269114872092|68719476765|80
1269114873092|68719476766|80
1269114874092|68719476767|80
1269114875092|68719476768|80
1269114876092|68719476769|80
1269114877092|68719476770|80
1269114878092|68719476771|80
1269114879092|68719476772|80
1269114880092|68719476773|80
1269114881092|68719476774|80
1271403211409|68719476775|80
1271403212409|68719476776|80
1271403214409|68719476778|80
1271403215409|68719476779|80
1271403216409|68719476780|80
1271403218409|68719476782|80
1271403219409|68719476783|80
1271403220409|68719476784|80
1271403221409|68719476785|80
1271403222409|68719476786|80
1271403223409|68719476787|80
1271403224409|68719476788|80
1271403225409|68719476789|80
1271403226409|68719476790|80
1322741286348|755914244151|80
1322741287348|755914244152|80
1322741288348|755914244153|80
1322741289348|755914244154|80
1322741290348|755914244155|80
1322741291348|755914244156|80
1322741292348|755914244157|80
1343639066183|1030792151102|80
1334494632073|893353197631|80
1334494633073|893353197632|80
1309088872869|549755813953|80
1309088873869|549755813954|80
1309088874869|549755813955|80
1309088875869|549755813956|80
1309088876869|549755813957|80
1309088877869|549755813958|80
1309088878869|549755813959|80
1309088879869|549755813960|66
1309088880869|549755813961|80
1309088881869|549755813962|80
1309088882869|549755813963|80
1309088883869|549755813964|80
1309088884869|549755813965|80
1309088885869|549755813966|49
1309088886869|549755813967|80
1309088887869|549755813968|80
1345977147795|1030792151121|80
1345977148795|1030792151122|80
1345977149795|1030792151123|80
1345977150795|1030792151124|80
1345977151795|1030792151125|80
1345977152795|1030792151126|80
1345977153795|1030792151127|80
1345977154795|1030792151128|80
1345977155795|1030792151129|80
1345977156795|1030792151130|80
1345977157795|1030792151131|80
1345977158795|1030792151132|80
1345977159795|1030792151133|80
1345977160795|1030792151134|80
1345977161795|1030792151135|80
1345977162795|1030792151136|80
1345977163795|1030792151137|80
1345977165795|1030792151139|80
1345977166795|1030792151140|80
1298533317748|412316860517|80
1275096123252|137438953574|80
1275096124252|137438953575|80
1275096125252|137438953576|80
1275096127252|137438953578|80
1275096128252|137438953579|80
1275096129252|137438953580|60
1275096130252|137438953581|80
1275096131252|137438953582|80
1275096132252|137438953583|80
1275096133252|137438953584|80
1275096134252|137438953585|80
