:START_ID(disease)|:END_ID(second_level_departments)|type:STRING|name:STRING
1853|20865|所属科室|所属科室
1153|20890|所属科室|所属科室
3028|20865|所属科室|所属科室
744|20908|所属科室|所属科室
6973|20862|所属科室|所属科室
6166|20907|所属科室|所属科室
8725|20865|所属科室|所属科室
3975|20884|所属科室|所属科室
998|20874|所属科室|所属科室
6576|20862|所属科室|所属科室
2876|20912|所属科室|所属科室
1227|20895|所属科室|所属科室
507|20867|所属科室|所属科室
3694|20869|所属科室|所属科室
4150|20872|所属科室|所属科室
8248|20912|所属科室|所属科室
6167|20912|所属科室|所属科室
5676|20884|所属科室|所属科室
5461|20908|所属科室|所属科室
2036|20907|所属科室|所属科室
5165|20897|所属科室|所属科室
225|20873|所属科室|所属科室
807|20904|所属科室|所属科室
8713|20906|所属科室|所属科室
5894|20908|所属科室|所属科室
7487|20906|所属科室|所属科室
2191|20879|所属科室|所属科室
8364|20884|所属科室|所属科室
1473|20869|所属科室|所属科室
5698|20887|所属科室|所属科室
4099|20905|所属科室|所属科室
1903|20865|所属科室|所属科室
5536|20892|所属科室|所属科室
805|20904|所属科室|所属科室
7554|20865|所属科室|所属科室
8681|20878|所属科室|所属科室
374|20867|所属科室|所属科室
3693|20874|所属科室|所属科室
4761|20887|所属科室|所属科室
3575|20872|所属科室|所属科室
6175|20897|所属科室|所属科室
4347|20909|所属科室|所属科室
3876|20872|所属科室|所属科室
8320|20865|所属科室|所属科室
3773|20865|所属科室|所属科室
3950|20884|所属科室|所属科室
4565|20872|所属科室|所属科室
4841|20912|所属科室|所属科室
4028|20872|所属科室|所属科室
7104|20906|所属科室|所属科室
1758|20872|所属科室|所属科室
6700|20879|所属科室|所属科室
839|20882|所属科室|所属科室
538|20882|所属科室|所属科室
8281|20908|所属科室|所属科室
3103|20865|所属科室|所属科室
1141|20890|所属科室|所属科室
2668|20867|所属科室|所属科室
4122|20865|所属科室|所属科室
5934|20874|所属科室|所属科室
1740|20898|所属科室|所属科室
7641|20904|所属科室|所属科室
7231|20865|所属科室|所属科室
6365|20897|所属科室|所属科室
1955|20909|所属科室|所属科室
1554|20883|所属科室|所属科室
5772|20912|所属科室|所属科室
3357|20893|所属科室|所属科室
8102|20897|所属科室|所属科室
4179|20907|所属科室|所属科室
329|20908|所属科室|所属科室
2891|20872|所属科室|所属科室
5519|20865|所属科室|所属科室
3192|20879|所属科室|所属科室
5425|20884|所属科室|所属科室
8651|20906|所属科室|所属科室
797|20908|所属科室|所属科室
3701|20907|所属科室|所属科室
8034|20906|所属科室|所属科室
7875|20872|所属科室|所属科室
2850|20866|所属科室|所属科室
294|20867|所属科室|所属科室
6421|20868|所属科室|所属科室
7924|20909|所属科室|所属科室
5667|20898|所属科室|所属科室
4680|20865|所属科室|所属科室
3635|20907|所属科室|所属科室
5505|20892|所属科室|所属科室
6467|20890|所属科室|所属科室
4909|20869|所属科室|所属科室
3731|20904|所属科室|所属科室
1147|20907|所属科室|所属科室
6113|20867|所属科室|所属科室
5353|20887|所属科室|所属科室
6086|20884|所属科室|所属科室
2714|20865|所属科室|所属科室
475|20867|所属科室|所属科室
2274|20869|所属科室|所属科室
1424|20898|所属科室|所属科室
2644|20866|所属科室|所属科室
3449|20872|所属科室|所属科室
5039|20872|所属科室|所属科室
2454|20878|所属科室|所属科室
6657|20867|所属科室|所属科室
4405|20899|所属科室|所属科室
5803|20897|所属科室|所属科室
928|20869|所属科室|所属科室
8646|20906|所属科室|所属科室
5947|20865|所属科室|所属科室
6027|20859|所属科室|所属科室
8494|20904|所属科室|所属科室
1550|20883|所属科室|所属科室
5147|20878|所属科室|所属科室
7854|20866|所属科室|所属科室
5797|20874|所属科室|所属科室
155|20874|所属科室|所属科室
2326|20860|所属科室|所属科室
4589|20864|所属科室|所属科室
837|20904|所属科室|所属科室
1114|20869|所属科室|所属科室
5908|20908|所属科室|所属科室
1496|20865|所属科室|所属科室
4463|20882|所属科室|所属科室
7690|20906|所属科室|所属科室
871|20909|所属科室|所属科室
967|20912|所属科室|所属科室
7109|20878|所属科室|所属科室
1106|20869|所属科室|所属科室
2076|20909|所属科室|所属科室
7521|20879|所属科室|所属科室
1543|20892|所属科室|所属科室
1663|20887|所属科室|所属科室
3434|20890|所属科室|所属科室
4066|20897|所属科室|所属科室
620|20879|所属科室|所属科室
103|20898|所属科室|所属科室
6174|20912|所属科室|所属科室
7534|20874|所属科室|所属科室
3536|20882|所属科室|所属科室
1882|20865|所属科室|所属科室
3683|20864|所属科室|所属科室
5136|20909|所属科室|所属科室
2202|20897|所属科室|所属科室
1905|20865|所属科室|所属科室
4274|20862|所属科室|所属科室
5481|20865|所属科室|所属科室
2549|20912|所属科室|所属科室
1672|20878|所属科室|所属科室
6918|20897|所属科室|所属科室
1107|20869|所属科室|所属科室
3707|20882|所属科室|所属科室
4890|20872|所属科室|所属科室
4233|20864|所属科室|所属科室
6936|20897|所属科室|所属科室
4631|20905|所属科室|所属科室
8565|20912|所属科室|所属科室
7383|20906|所属科室|所属科室
7987|20912|所属科室|所属科室
5876|20865|所属科室|所属科室
2978|20897|所属科室|所属科室
3953|20897|所属科室|所属科室
6237|20912|所属科室|所属科室
1900|20865|所属科室|所属科室
2977|20887|所属科室|所属科室
2505|20879|所属科室|所属科室
1477|20869|所属科室|所属科室
4214|20878|所属科室|所属科室
5943|20865|所属科室|所属科室
1174|20859|所属科室|所属科室
3386|20878|所属科室|所属科室
3799|20869|所属科室|所属科室
8509|20887|所属科室|所属科室
6679|20912|所属科室|所属科室
6125|20908|所属科室|所属科室
2948|20882|所属科室|所属科室
3408|20860|所属科室|所属科室
6655|20904|所属科室|所属科室
3148|20907|所属科室|所属科室
7584|20869|所属科室|所属科室
8390|20865|所属科室|所属科室
3945|20872|所属科室|所属科室
3080|20912|所属科室|所属科室
7406|20866|所属科室|所属科室
7118|20878|所属科室|所属科室
1662|20907|所属科室|所属科室
5004|20866|所属科室|所属科室
7852|20908|所属科室|所属科室
