:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
8275|10604|常用药品|常用药品
2553|9925|常用药品|常用药品
606|11744|常用药品|常用药品
5908|11441|常用药品|常用药品
5315|9454|常用药品|常用药品
8399|10328|常用药品|常用药品
8559|11033|常用药品|常用药品
7501|12191|常用药品|常用药品
3119|10892|常用药品|常用药品
6213|9833|常用药品|常用药品
3711|12507|常用药品|常用药品
5081|8815|常用药品|常用药品
2228|12616|常用药品|常用药品
1870|12357|常用药品|常用药品
7110|9335|常用药品|常用药品
8041|12249|常用药品|常用药品
5453|9037|常用药品|常用药品
4626|9434|常用药品|常用药品
1259|11125|常用药品|常用药品
3314|11492|常用药品|常用药品
4262|8932|常用药品|常用药品
1764|12628|常用药品|常用药品
4564|10621|常用药品|常用药品
852|12490|常用药品|常用药品
4395|11819|常用药品|常用药品
2253|11298|常用药品|常用药品
3373|10160|常用药品|常用药品
5592|11624|常用药品|常用药品
3072|11638|常用药品|常用药品
4397|12101|常用药品|常用药品
8573|11065|常用药品|常用药品
16|11909|常用药品|常用药品
4267|10054|常用药品|常用药品
2522|11017|常用药品|常用药品
8312|10328|常用药品|常用药品
1098|9394|常用药品|常用药品
4519|9287|常用药品|常用药品
1776|9002|常用药品|常用药品
2209|11112|常用药品|常用药品
2840|11551|常用药品|常用药品
4307|9832|常用药品|常用药品
3585|11940|常用药品|常用药品
7631|11638|常用药品|常用药品
8625|9448|常用药品|常用药品
1867|10164|常用药品|常用药品
3340|11285|常用药品|常用药品
4074|10695|常用药品|常用药品
7060|9281|常用药品|常用药品
4118|12579|常用药品|常用药品
7640|9317|常用药品|常用药品
7802|10205|常用药品|常用药品
693|12086|常用药品|常用药品
1732|11730|常用药品|常用药品
3685|9833|常用药品|常用药品
6116|11448|常用药品|常用药品
8566|9660|常用药品|常用药品
3627|10447|常用药品|常用药品
1279|11017|常用药品|常用药品
8329|9516|常用药品|常用药品
1115|10631|常用药品|常用药品
2427|12328|常用药品|常用药品
1951|10945|常用药品|常用药品
1654|9954|常用药品|常用药品
1349|10025|常用药品|常用药品
7571|11739|常用药品|常用药品
7288|9425|常用药品|常用药品
6490|11876|常用药品|常用药品
5109|9226|常用药品|常用药品
4052|8958|常用药品|常用药品
4766|9425|常用药品|常用药品
