:START_ID(disease)|:END_ID(disease)|type:STRING|name:STRING
1803|3998|并发症|并发症
1836|1892|并发症|并发症
2989|802|并发症|并发症
2680|8335|并发症|并发症
8125|1125|并发症|并发症
1771|7732|并发症|并发症
5969|23|并发症|并发症
2035|5596|并发症|并发症
8707|258|并发症|并发症
8793|3390|并发症|并发症
8407|7921|并发症|并发症
130|161|并发症|并发症
6824|7418|并发症|并发症
8757|177|并发症|并发症
4581|5261|并发症|并发症
2481|7960|并发症|并发症
5144|1317|并发症|并发症
241|167|并发症|并发症
1790|258|并发症|并发症
1026|2229|并发症|并发症
2851|3037|并发症|并发症
4865|1871|并发症|并发症
2518|845|并发症|并发症
4994|3752|并发症|并发症
5317|6934|并发症|并发症
3527|3037|并发症|并发症
4834|820|并发症|并发症
476|355|并发症|并发症
7373|373|并发症|并发症
6956|1802|并发症|并发症
6074|8518|并发症|并发症
5138|8178|并发症|并发症
6148|1317|并发症|并发症
3506|933|并发症|并发症
1881|1864|并发症|并发症
2802|4283|并发症|并发症
3970|8405|并发症|并发症
6447|107|并发症|并发症
8614|23|并发症|并发症
1130|4419|并发症|并发症
5377|4832|并发症|并发症
4463|940|并发症|并发症
8136|906|并发症|并发症
4323|770|并发症|并发症
4293|8711|并发症|并发症
3136|21|并发症|并发症
5667|3038|并发症|并发症
7847|6445|并发症|并发症
4667|3706|并发症|并发症
2498|3998|并发症|并发症
49|4|并发症|并发症
5437|77|并发症|并发症
7305|563|并发症|并发症
4984|1135|并发症|并发症
4454|894|并发症|并发症
1391|5977|并发症|并发症
7142|933|并发症|并发症
2561|8494|并发症|并发症
4185|21|并发症|并发症
4073|4035|并发症|并发症
3226|5766|并发症|并发症
8091|8779|并发症|并发症
565|6507|并发症|并发症
153|202|并发症|并发症
4557|4522|并发症|并发症
4982|5977|并发症|并发症
6927|3093|并发症|并发症
7495|1107|并发症|并发症
2619|4832|并发症|并发症
2140|975|并发症|并发症
5575|3340|并发症|并发症
4926|4198|并发症|并发症
126|312|并发症|并发症
1937|917|并发症|并发症
7643|5665|并发症|并发症
509|365|并发症|并发症
3040|5349|并发症|并发症
109|4610|并发症|并发症
7871|94|并发症|并发症
5662|1807|并发症|并发症
5762|5140|并发症|并发症
6470|2967|并发症|并发症
4053|2229|并发症|并发症
3711|137|并发症|并发症
3857|6934|并发症|并发症
8772|3781|并发症|并发症
1070|23|并发症|并发症
5281|195|并发症|并发症
3466|4780|并发症|并发症
8408|6507|并发症|并发症
8769|4610|并发症|并发症
2957|633|并发症|并发症
7353|2419|并发症|并发症
2751|2116|并发症|并发症
1705|933|并发症|并发症
5894|5140|并发症|并发症
2671|311|并发症|并发症
707|6629|并发症|并发症
1157|6823|并发症|并发症
2812|2667|并发症|并发症
6401|3339|并发症|并发症
3740|819|并发症|并发症
6126|4198|并发症|并发症
7490|5977|并发症|并发症
7538|4915|并发症|并发症
1897|1807|并发症|并发症
8772|373|并发症|并发症
6592|25|并发症|并发症
632|23|并发症|并发症
4830|1807|并发症|并发症
2154|4832|并发症|并发症
5182|8801|并发症|并发症
7677|677|并发症|并发症
3882|1963|并发症|并发症
1883|1888|并发症|并发症
7997|809|并发症|并发症
6419|984|并发症|并发症
5234|613|并发症|并发症
5656|1199|并发症|并发症
4479|5114|并发症|并发症
1738|2500|并发症|并发症
8770|2500|并发症|并发症
5603|3972|并发症|并发症
994|833|并发症|并发症
5049|1780|并发症|并发症
7265|195|并发症|并发症
6797|1049|并发症|并发症
5544|8178|并发症|并发症
6185|2398|并发症|并发症
4223|5117|并发症|并发症
2309|1046|并发症|并发症
6052|2315|并发症|并发症
8165|1730|并发症|并发症
6347|646|并发症|并发症
2667|4018|并发症|并发症
2788|4283|并发症|并发症
5491|203|并发症|并发症
2198|1104|并发症|并发症
3245|2992|并发症|并发症
7911|7919|并发症|并发症
3131|138|并发症|并发症
6041|984|并发症|并发症
4353|167|并发症|并发症
1341|6884|并发症|并发症
6710|8613|并发症|并发症
509|8547|并发症|并发症
8436|3998|并发症|并发症
2822|921|并发症|并发症
4759|1114|并发症|并发症
108|40|并发症|并发症
4894|4280|并发症|并发症
5309|716|并发症|并发症
3469|4580|并发症|并发症
6553|5977|并发症|并发症
5631|2316|并发症|并发症
6022|6203|并发症|并发症
567|167|并发症|并发症
4224|6711|并发症|并发症
2825|3340|并发症|并发症
5461|3998|并发症|并发症
7282|3409|并发症|并发症
8017|4832|并发症|并发症
8371|253|并发症|并发症
2216|177|并发症|并发症
3241|3409|并发症|并发症
4679|1716|并发症|并发症
5230|118|并发症|并发症
1835|2503|并发症|并发症
5794|532|并发症|并发症
5552|4343|并发症|并发症
6405|1317|并发症|并发症
7533|2495|并发症|并发症
2192|23|并发症|并发症
6703|739|并发症|并发症
2123|2510|并发症|并发症
2935|716|并发症|并发症
3933|138|并发症|并发症
8092|770|并发症|并发症
1720|1713|并发症|并发症
3097|167|并发症|并发症
1535|3376|并发症|并发症
7362|8801|并发症|并发症
2432|373|并发症|并发症
410|2539|并发症|并发症
365|311|并发症|并发症
5392|4832|并发症|并发症
5942|1737|并发症|并发症
819|586|并发症|并发症
6320|236|并发症|并发症
535|258|并发症|并发症
32|2254|并发症|并发症
3631|718|并发症|并发症
6676|900|并发症|并发症
321|167|并发症|并发症
4375|899|并发症|并发症
5037|1892|并发症|并发症
