id:ID|name:STRING|label:STRING
12644|蜂蜜|食物
12652|羊油|食物
12660|草虾|食物
12678|鱼肉|食物
12680|鲮鱼罐头|食物
12682|猪肝|食物
12696|馒头|食物
12702|香蕉|食物
12709|猪头肉|食物
12713|鸭骨|食物
12718|小黄鱼|食物
12753|松子仁|食物
12768|薏米|食物
12793|葵花子（生）|食物
12800|海螺|食物
12816|蒜苔|食物
12825|芒果|食物
12838|黄瓜|食物
12847|大豆|食物
12898|咖喱|食物
12900|海参|食物
12911|花生（炒）|食物
12921|葡萄|食物
12924|大白菜(青口)|食物
12940|猪蹄|食物
12950|鸡翅|食物
12965|鸽蛋|食物
12972|青蒜|食物
12981|大葱|食物
12988|羊肝|食物
13012|羊血|食物
13015|桃仁|食物
13026|西瓜子仁|食物
13049|羊肉(后腿)|食物
13050|咸鱼|食物
13051|乌龟|食物
13070|燕麦片|食物
13143|番茄|食物
13155|鸭血(白鸭)|食物
13162|糯米(紫)|食物
13173|茯苓|食物
13191|麻雀|食物
13206|猪里脊肉|食物
13214|田螺|食物
13321|腐竹|食物
13333|鹅蛋|食物
13339|松花蛋（鸭蛋）|食物
13347|虾仁|食物
13362|粳米|食物
13363|鸡|食物
13366|茄子|食物
13367|武昌鱼|食物
13368|鲤鱼|食物
13412|蚝豉|食物
13432|冻豆腐|食物
13437|黄豆粉|食物
13457|白菜|食物
13459|鱼皮|食物
13460|芹菜叶|食物
13467|羊肚|食物
13561|芥菜|食物
13575|圆白菜|食物
13579|孢子甘蓝|食物
13585|薇菜|食物
13587|红辣椒|食物
13602|南瓜|食物
13603|鸭|食物
13613|奶油|食物
13614|木耳菜|食物
13618|荠菜|食物
13686|牡蛎(鲜)|食物
13699|菠菜|食物
13712|鸭掌|食物
13713|芹菜|食物
13720|茭白|食物
13736|赤砂糖|食物
13745|鲜贝|食物
13756|子姜|食物
13767|白果（鲜）|食物
13773|鲫鱼|食物
13779|面条(干切面)|食物
13786|猪肚|食物
13797|驴肉|食物
13822|红萝卜|食物
13831|荸荠粉|食物
13834|猪肉皮|食物
13864|腌芥菜头|食物
13870|香菜|食物
13873|绿豆沙|食物
13876|咸肉|食物
13888|苋菜(紫)|食物
13892|生菜|食物
13897|白酒|食物
13948|泡打粉|食物
13953|鸡蛋黄|食物
13959|蘑菇（干）|食物
13963|蛤蜊|食物
13988|猪腰子|食物
13998|玉米面（黄）|食物
14007|鹅|食物
14030|蟹黄|食物
14033|羊奶|食物
14034|扇贝(鲜)|食物
14037|海参（水浸）|食物
14045|腰果|食物
14064|公鸡|食物
14069|黄豆芽|食物
14070|海蜇皮|食物
14103|小白菜|食物
14107|豆腐干|食物
14109|海白菜|食物
14111|鲍鱼|食物
14116|红豆沙|食物
14133|牛肉(肥瘦)|食物
14154|鸡肉|食物
14166|鹌鹑蛋|食物
14174|木耳(干)|食物
14182|木耳(水发)|食物
14183|梨|食物
14192|桂皮|食物
14198|西兰花|食物
14204|姜|食物
14210|栗子（熟）|食物
14248|甜菜根|食物
14264|对虾|食物
14269|丝瓜|食物
14308|河蚌|食物
14315|赤贝|食物
14319|烤鸭|食物
14328|鸡心|食物
14361|啤酒|食物
14363|沙丁鱼|食物
14377|狗肝菜|食物
14398|枣（鲜）|食物
14419|芡实米（鲜）|食物
14458|鲈鱼|食物
14460|猪排骨(大排)|食物
14469|百合|食物
14505|罗非鱼|食物
14515|西葫芦|食物
14528|小龙虾|食物
14531|春笋|食物
14536|墨鱼|食物
14537|干腌菜|食物
14569|猕猴桃|食物
14570|带鱼|食物
14579|鸡爪|食物
14585|鸡腿|食物
14597|豆腐|食物
14601|甲鱼|食物
14605|大蒜|食物
14606|猪心|食物
14619|玉米（鲜）|食物
14627|火腿肠|食物
14652|葵花子仁|食物
14690|竹笋|食物
14705|芡实米|食物
14715|猪肋条肉（五花肉）|食物
14742|油菜|食物
14745|猫肉|食物
14764|芋头|食物
14779|小米|食物
14883|鱼腥草|食物
14897|猪脑|食物
14916|猪血|食物
14945|鸭翅|食物
14952|酸白菜|食物
14955|鲟鱼|食物
14971|鹅肝|食物
14973|螺丝菜|食物
14981|面肥|食物
14982|枣（干）|食物
15022|肥膘肉|食物
15029|石榴|食物
15045|鸡肝|食物
15066|龙虾|食物
15109|乌骨鸡|食物
15143|花生|食物
15150|黑鱼|食物
15168|大白菜(小白口)|食物
15174|茼蒿|食物
15187|羊肉(肥瘦)|食物
15206|白砂糖|食物
15219|猪肉(肥)|食物
15234|羊肉(瘦)|食物
15248|油条|食物
15261|狗肉|食物
15273|咖啡|食物
15290|海虾|食物
15296|蟹肉|食物
15300|香菇（干）|食物
15316|猪肉(瘦)|食物
15349|猪大肠|食物
15355|鳕鱼|食物
15356|田鸡|食物
15361|芸豆|食物
15379|萝卜|食物
15385|青豆|食物
15422|油菜心|食物
15430|海蜇头|食物
15451|白果（干）|食物
15452|荠菜根|食物
15457|青椒|食物
15469|西米|食物
15475|螃蟹|食物
15477|羊肥肠(大肠)|食物
15482|红葡萄酒|食物
15487|绿豆|食物
15510|杏仁|食物
15512|鸡蛋|食物
15519|油豆腐|食物
15551|辣椒(红、尖、干)|食物
15587|三文鱼|食物
15597|海狗|食物
15602|鹌鹑肉|食物
15607|鳜鱼|食物
15609|辣椒(青、尖)|食物
15613|黑芝麻|食物
15652|银鱼干|食物
15679|鱿鱼(鲜)|食物
