:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
2553|9925|好评药品|好评药品
606|11744|好评药品|好评药品
1976|11658|好评药品|好评药品
5174|9702|好评药品|好评药品
276|11292|好评药品|好评药品
1442|11286|好评药品|好评药品
3490|11899|好评药品|好评药品
5315|9454|好评药品|好评药品
7904|11407|好评药品|好评药品
3119|10892|好评药品|好评药品
1703|12159|好评药品|好评药品
5411|11662|好评药品|好评药品
3711|12507|好评药品|好评药品
4727|10110|好评药品|好评药品
3816|8896|好评药品|好评药品
1870|12357|好评药品|好评药品
5453|9037|好评药品|好评药品
6548|9378|好评药品|好评药品
7444|9421|好评药品|好评药品
2625|10838|好评药品|好评药品
4732|11000|好评药品|好评药品
5569|12187|好评药品|好评药品
3210|10848|好评药品|好评药品
3261|11196|好评药品|好评药品
852|12490|好评药品|好评药品
5996|8844|好评药品|好评药品
4395|11819|好评药品|好评药品
1430|12586|好评药品|好评药品
3672|11448|好评药品|好评药品
787|11861|好评药品|好评药品
3373|10160|好评药品|好评药品
5592|11624|好评药品|好评药品
4397|12101|好评药品|好评药品
8573|11065|好评药品|好评药品
16|11909|好评药品|好评药品
4267|10054|好评药品|好评药品
2522|11017|好评药品|好评药品
5334|11904|好评药品|好评药品
2209|11112|好评药品|好评药品
7236|12159|好评药品|好评药品
8625|9448|好评药品|好评药品
5106|12080|好评药品|好评药品
8790|11099|好评药品|好评药品
4118|12579|好评药品|好评药品
1040|10524|好评药品|好评药品
3843|8813|好评药品|好评药品
7336|10895|好评药品|好评药品
7748|11050|好评药品|好评药品
1808|10219|好评药品|好评药品
5470|12389|好评药品|好评药品
7982|10398|好评药品|好评药品
1024|11430|好评药品|好评药品
1956|12027|好评药品|好评药品
7418|10258|好评药品|好评药品
8566|9660|好评药品|好评药品
1115|10631|好评药品|好评药品
4382|10861|好评药品|好评药品
3366|10297|好评药品|好评药品
5923|10175|好评药品|好评药品
6049|9224|好评药品|好评药品
7357|10528|好评药品|好评药品
4115|9731|好评药品|好评药品
1951|10945|好评药品|好评药品
5046|12155|好评药品|好评药品
6059|10440|好评药品|好评药品
2677|9737|好评药品|好评药品
8227|10325|好评药品|好评药品
6183|9425|好评药品|好评药品
1905|12257|好评药品|好评药品
4581|11361|好评药品|好评药品
1600|12187|好评药品|好评药品
5109|9226|好评药品|好评药品
2851|11531|好评药品|好评药品
6666|9056|好评药品|好评药品
8778|12159|好评药品|好评药品
586|11637|好评药品|好评药品
1506|11418|好评药品|好评药品
6831|9136|好评药品|好评药品
7409|11923|好评药品|好评药品
306|9319|好评药品|好评药品
5629|10039|好评药品|好评药品
770|11743|好评药品|好评药品
7196|10979|好评药品|好评药品
945|10028|好评药品|好评药品
894|11397|好评药品|好评药品
152|9063|好评药品|好评药品
6975|10391|好评药品|好评药品
4940|11893|好评药品|好评药品
6448|10013|好评药品|好评药品
6754|10893|好评药品|好评药品
3544|10185|好评药品|好评药品
6251|11588|好评药品|好评药品
3913|10292|好评药品|好评药品
3742|10305|好评药品|好评药品
2775|9168|好评药品|好评药品
2667|11907|好评药品|好评药品
1015|11789|好评药品|好评药品
8026|9081|好评药品|好评药品
3318|11467|好评药品|好评药品
1935|11917|好评药品|好评药品
456|11602|好评药品|好评药品
4648|11808|好评药品|好评药品
4908|10534|好评药品|好评药品
8238|12099|好评药品|好评药品
8252|8837|好评药品|好评药品
1238|9974|好评药品|好评药品
2769|9740|好评药品|好评药品
8049|12578|好评药品|好评药品
7963|12372|好评药品|好评药品
179|11938|好评药品|好评药品
3067|11325|好评药品|好评药品
7158|12381|好评药品|好评药品
5574|11970|好评药品|好评药品
8641|12070|好评药品|好评药品
6912|10381|好评药品|好评药品
4406|9944|好评药品|好评药品
8679|9007|好评药品|好评药品
7561|11453|好评药品|好评药品
8281|11977|好评药品|好评药品
7484|12208|好评药品|好评药品
487|11305|好评药品|好评药品
3560|10566|好评药品|好评药品
6589|9027|好评药品|好评药品
8569|8933|好评药品|好评药品
1397|9053|好评药品|好评药品
7199|11917|好评药品|好评药品
255|11397|好评药品|好评药品
5603|9597|好评药品|好评药品
1349|10625|好评药品|好评药品
2734|12054|好评药品|好评药品
