id:ID(symptoms)|name:STRING|label:STRING
38114|牙齿松动和脱落|症状
38115|绝经|症状
38116|腹肌紧张|症状
38117|小腿水肿|症状
38118|脂肪浸润|症状
38119|输卵管粘连|症状
38120|咽部灼热疼痛|症状
38121|巨乳|症状
38122|消化管蠕动不协调|症状
38123|脑痉挛|症状
38124|髌骨劳损|症状
38125|无名指不明原因疼痛|症状
38126|膝腱反射消失|症状
38127|阑尾缺血充血|症状
38128|尿暗黑色|症状
38129|反胃|症状
38130|恐水症|症状
38131|夜间肩痛|症状
38132|产育过多后腰痛|症状
38133|胸闷|症状
38134|吸吮反射阳性|症状
38135|脉氧合不足|症状
38136|女性腰骶生理性...|症状
38137|口涩|症状
38138|尿流缓慢|症状
38139|胃慢性出血|症状
38140|臀中肌损伤|症状
38141|儿童退缩行为|症状
38142|局灶症状|症状
38143|脚脱皮|症状
38144|胆结石|症状
38145|肾小球有病理形态改变|症状
38146|牙齿数目不足|症状
38147|肘关节伸直位内...|症状
38148|所淑芳|症状
38149|色情行为|症状
38150|进食后出现弥漫...|症状
38151|睑缘呈横“S”形下垂|症状
38152|恶臭便|症状
38153|肛内分泌物多|症状
38154|失眠|症状
38155|胃嵌顿|症状
38156|产道裂伤|症状
38157|上肢及肩向下牵...|症状
38158|室上性心律失常|症状
38159|胃食管反流症状|症状
38160|血虚脱发|症状
38161|卵泡刺激素(F...|症状
38162|下腹局部疼痛|症状
38163|场所恐惧|症状
38164|右胸痛|症状
38165|舌质红绛|症状
38166|眼睑畸形|症状
38167|肝内淤胆|症状
38168|上行性皮肤麻木|症状
38169|慢性胃痛|症状
38170|脊神经根受损|症状
38171|股部内侧靠近阴...|症状
38172|脉速而无力|症状
38173|阴道出血|症状
38174|额横纹增深|症状
38175|脊髓缺血|症状
38176|肾病综合征|症状
38177|脊髓受压|症状
38178|无腋毛|症状
38179|四肢麻木|症状
38180|肢体忽冷忽热，...|症状
38181|软骨发育不良与...|症状
38182|心脏扩大|症状
38183|鼻端弥漫性潮红|症状
