id:ID|name:STRING|label:STRING
44112|药物治疗如抑酸剂、黏膜保护剂，对症治疗|治疗方案
44113|药物治疗如抑酸剂、促动力药，黏膜保护剂，内科治疗无效行手术治疗|治疗方案
44114|消融|治疗方案
44115|主要是主要针对病因进行治疗，必要时应用起搏器|治疗方案
44116|口腔修复治疗|治疗方案
44117|停药|治疗方案
44118|药物治疗，改变不良生活方式|治疗方案
44119|药物治疗如胰酶、抑酸、补液、抗感染等综合治疗，病因治疗如处理胆结石、高脂血症等|治疗方案
44120|乙醇的抗毒治疗，药物治疗|治疗方案
44121|中西医排石治疗|治疗方案
44122|早期可输注广谱抗生素。脓肿形成后需要手术切口引流治疗|治疗方案
44123|纤支镜气管冲洗术|治疗方案
44124|大部分可通过内镜取出，少数较大异物或者合并有严重并发症者需手术治疗|治疗方案
44125|饮食疗法|治疗方案
44126|基础疾病治疗|治疗方案
44127|药物治疗，出现严重并发症死骨形成可手术清除病灶|治疗方案
44128|针灸推拿治疗|治疗方案
44129|脱敏治疗|治疗方案
44130|药物治疗，心理治疗|治疗方案
44131|药物治疗、手术治疗和|治疗方案
44132|戒酒，|治疗方案
44133|大多数无症状者无需治疗，有症状者根据病情不同可能采用手术治疗|治疗方案
44134|抗真菌治疗|治疗方案
44135|多数不需要治疗，当出现严重呼吸困难时可手术治疗|治疗方案
44136|射频治疗|治疗方案
44137|预防并发症|治疗方案
44138|小儿纤维支气管镜|治疗方案
44139|康复治疗，语言训练等|治疗方案
44140|粒子植入|治疗方案
44141|药物治疗如促胃肠动力剂与止酸剂，注意饮食调节、半卧位，药物治疗无效者考虑手术治疗如胃底折叠术|治疗方案
44142|小肠移植|治疗方案
44143|一般采用支持疗法|治疗方案
44144|药物治疗，继发性可能需要手术治疗|治疗方案
44145|无有效治疗方法|治疗方案
44146|抗生素药物治疗、去除诱发因素、支持性治疗、提高机体免疫力治疗|治疗方案
44147|中医辨证施治，给以中医药治疗，效果较好|治疗方案
44148|抗菌治疗、抗休克治疗、纠正酸中毒，糖皮质激素应用以及防治并发症的发生|治疗方案
44149|，支持性治疗|治疗方案
44150|药物溶栓|治疗方案
44151|无特别有效的治愈方式，愈后差|治疗方案
44152|手术|治疗方案
44153|介入治疗|治疗方案
44154|按摩、石膏矫正，手术治疗|治疗方案
44155|及时补充血容量及对症支持治疗|治疗方案
44156|支持疗法|治疗方案
44157|抗病毒治疗，保肝治疗，手术治疗。|治疗方案
44158|中医药物治疗|治疗方案
44159|康复治疗|治疗方案
44160|手术治疗中医中药治疗|治疗方案
44161|牵引治疗|治疗方案
44162|控制血压|治疗方案
44163|药物治疗如黏膜保护剂、抑酸剂，有幽门螺杆菌感染者进行根除治疗|治疗方案
44164|液体刀治疗|治疗方案
44165|药物治疗如利他林、胃复安|治疗方案
44166|激光治疗|治疗方案
44167|去除病因|治疗方案
44168|粪菌移植疗法|治疗方案
44169|持性治疗|治疗方案
44170|戒酒治疗，药物治疗，|治疗方案
44171|，综合治疗|治疗方案
44172|手法治疗|治疗方案
44173|药物治疗手术治疗|治疗方案
44174|RGP|治疗方案
44175|药物治疗、介入治疗、手术治疗|治疗方案
44176|支持治疗包括优化通气和氧合、维持正常的血压心排出量、纠正酸中毒、维持血糖、控制惊厥等；神经保护治疗主|治疗方案
44177|导管溶栓|治疗方案
44178|高浓度吸氧|治疗方案
44179|药物治疗|治疗方案
44180|亲情疗法|治疗方案
44181|及时洗胃|治疗方案
44182|替代治疗|治疗方案
44183|持续稳定得控制血压，保护心功能|治疗方案
44184|。中医可以分气虚、血虚、肝阳上亢、淤血证型治疗|治疗方案
44185|手术切除囊肿|治疗方案
44186|复位治疗|治疗方案
44187|急症手术治疗|治疗方案
44188|手术治疗和药物治疗|治疗方案
44189|抗菌素治疗，对症治疗，|治疗方案
44190|治疗原发病|治疗方案
44191|对症治疗，支持性治疗|治疗方案
44192|，粒子植入，消融|治疗方案
44193|西药治疗，中药治疗。|治疗方案
44194|静脉溶栓|治疗方案
44195|小的声带息肉可以药物治疗消退，多数需要手术治疗，有多种手术方式|治疗方案
44196|药物|治疗方案
44197|抗真菌治疗，对症治疗，|治疗方案
44198|体育疗法|治疗方案
44199|急性严重的可以激素冲击治疗，轻症者可以口服药物，少数需要长期应用胰岛素治疗|治疗方案
44200|药物治疗或介入手术降低门脉压力|治疗方案
44201|补液，纠正脱水及电解质和酸碱平衡紊乱，支持性治疗|治疗方案
44202|化疗|治疗方案
44203|手术治疗或者保守治疗|治疗方案
44204|休息、饮食和营养、药物治疗、支持治疗|治疗方案
44205|糖皮质激素治疗|治疗方案
44206|595脉冲染料激光首选，必要时1064激光，皮肤扩张手术治疗|治疗方案
44207|手术疗法|治疗方案
44208|抗感染|治疗方案
44209|支持治疗，饮食调理，适当增加体力活动|治疗方案
44210|切除后药物防治|治疗方案
44211|无特殊处理|治疗方案
44212|肠康复治疗|治疗方案
44213|下腔静脉滤器植入、导管溶栓|治疗方案
44214|颈动脉狭窄可以通过药物控制或外科手术治疗。如内膜剥脱术或介入支架植入术，也可以采用中医药保守治疗|治疗方案
44215|对症及支持治疗|治疗方案
44216|熏冼、坐浴、直肠给药、注射治疗、中医治疗|治疗方案
44217|支持性治疗中医中药|治疗方案
44218|药物治疗如保护胃肠黏膜、抑酸剂、抗生素、补液等|治疗方案
44219|康复治疗（EH为良性自限性疾病，绝大多数患儿不需任何内外科治疗，可待其自行消失）|治疗方案
44220|康复治疗、神经调控治疗|治疗方案
44221|无特殊治疗|治疗方案
44222|目前无有效治疗方法|治疗方案
44223|对症支持性治疗为辅|治疗方案
44224|心理治疗、暗示治疗|治疗方案
44225|根据原发部位不同|治疗方案
44226|心理治疗|治疗方案
44227|中医治疗|治疗方案
44228|行为治疗、觉醒训练、药物治疗、针灸和生物反馈治疗|治疗方案
44229|对症|治疗方案
44230|药物治疗，饮食治疗|治疗方案
44231|手术治疗，冷冻治疗和放射治疗，α-干扰素治疗|治疗方案
44232|中医中药|治疗方案
44233|氧疗|治疗方案
44234|牙齿充填术|治疗方案
44235|有效刷牙，洁治|治疗方案
44236|器官移植|治疗方案
44237|对症等治疗|治疗方案
44238|抗菌素治疗，|治疗方案
44239|急性糜烂性胃炎给予药物治疗如黏膜保护剂、抑酸剂，止血、补液治疗，|治疗方案
44240|手术切除治疗药物治疗|治疗方案
44241|支持性治疗，必要时抗青光眼手术治疗|治疗方案
44242|化疗支持性治疗|治疗方案
44243|药物抗菌治疗，连续的影像学检查，外科手段的综合治疗|治疗方案
44244|运动治疗|治疗方案
44245|辅助生育|治疗方案
44246|休息|治疗方案
44247|口腔护理|治疗方案
44248|慢性糜烂性胃炎给予药物口服治疗|治疗方案
44249|冷冻治疗|治疗方案
44250|对症治疗，抗病毒治疗|治疗方案
44251|支持性治疗，必要时角膜移植手术|治疗方案
44252|心理治疗等|治疗方案
44253|行为|治疗方案
44254|剖腹产|治疗方案
44255|及时洗胃，药物治疗|治疗方案
44256|药物治疗、内镜治疗、手术治疗|治疗方案
44257|对症治疗|治疗方案
44258|镫骨手术治疗为主。|治疗方案
44259|无特效治疗方法，对症治疗|治疗方案
44260|、运动、饮食、心情调理|治疗方案
44261|抗疟药物治疗，脾切除术，|治疗方案
44262|中西医结合治疗|治疗方案
44263|就地抢救，转移至平原地区，药物治疗|治疗方案
44264|手术治疗，保守治疗|治疗方案
44265|中药治疗|治疗方案
44266|中西医结合药物治疗局部物理治疗|治疗方案
44267|止咳祛痰平喘药物治疗、基础疾病治疗、氧疗、支持性治疗|治疗方案
44268|抗菌药物治疗、原发病治疗、营养支持治疗、导致VAP的危险因素治疗|治疗方案
