:START_ID(disease)|:END_ID(symptoms)|type:STRING|name:STRING
8428|44077|症状|症状
2989|42620|症状|症状
99|43148|症状|症状
7894|42043|症状|症状
1695|43362|症状|症状
7953|38349|症状|症状
4187|40348|症状|症状
371|42524|症状|症状
1960|42057|症状|症状
4|39062|症状|症状
2314|41987|症状|症状
6387|42495|症状|症状
3169|42360|症状|症状
3168|38405|症状|症状
7703|43002|症状|症状
4004|41540|症状|症状
4210|43114|症状|症状
6620|42106|症状|症状
5802|42373|症状|症状
4491|43148|症状|症状
1458|40064|症状|症状
5922|41918|症状|症状
8170|38522|症状|症状
5575|39637|症状|症状
743|42356|症状|症状
1478|39775|症状|症状
3281|43799|症状|症状
1366|43650|症状|症状
1186|42749|症状|症状
1332|42239|症状|症状
8747|38950|症状|症状
656|42696|症状|症状
2785|42020|症状|症状
8723|43258|症状|症状
1265|41730|症状|症状
4230|42843|症状|症状
6808|40665|症状|症状
5858|39044|症状|症状
944|39358|症状|症状
2802|40625|症状|症状
1747|39805|症状|症状
4692|38679|症状|症状
2509|43594|症状|症状
1995|41018|症状|症状
1474|41624|症状|症状
506|41101|症状|症状
560|38927|症状|症状
7498|43213|症状|症状
2499|41054|症状|症状
6249|43617|症状|症状
1231|39424|症状|症状
3917|40241|症状|症状
5226|41054|症状|症状
747|42889|症状|症状
3324|42744|症状|症状
6085|38612|症状|症状
33|38722|症状|症状
6250|41943|症状|症状
67|42639|症状|症状
7718|43313|症状|症状
6294|40689|症状|症状
8704|38227|症状|症状
867|42336|症状|症状
1292|44024|症状|症状
3644|39643|症状|症状
7382|43213|症状|症状
741|43114|症状|症状
1814|40689|症状|症状
7070|40509|症状|症状
6223|39463|症状|症状
883|39333|症状|症状
8269|40830|症状|症状
6080|39224|症状|症状
2842|40665|症状|症状
2841|42511|症状|症状
4600|44017|症状|症状
5078|40500|症状|症状
6844|43114|症状|症状
434|41732|症状|症状
2237|44107|症状|症状
4508|42528|症状|症状
1214|43674|症状|症状
4164|43927|症状|症状
6211|38864|症状|症状
7677|41280|症状|症状
1764|41732|症状|症状
1307|41271|症状|症状
5639|42773|症状|症状
1620|41918|症状|症状
4740|40144|症状|症状
404|38890|症状|症状
579|40241|症状|症状
3135|40241|症状|症状
4439|41101|症状|症状
4708|42586|症状|症状
4458|43006|症状|症状
6955|40795|症状|症状
3113|42043|症状|症状
6922|44051|症状|症状
277|41642|症状|症状
1270|43114|症状|症状
1543|43002|症状|症状
6992|41101|症状|症状
2912|39081|症状|症状
7157|43355|症状|症状
5281|43704|症状|症状
8767|39537|症状|症状
4780|39677|症状|症状
1794|38927|症状|症状
4125|41101|症状|症状
7268|40622|症状|症状
3767|40200|症状|症状
2833|43256|症状|症状
6497|40689|症状|症状
8020|39363|症状|症状
5779|40957|症状|症状
3449|43704|症状|症状
4653|38933|症状|症状
812|44108|症状|症状
5066|42725|症状|症状
275|39255|症状|症状
4981|40867|症状|症状
8030|41138|症状|症状
793|42917|症状|症状
7765|39737|症状|症状
